domain,landing_page,pageviews,visits,active_visitors,pageviews_per_session,avg_session_duration,bounce_rate
www.nhtsa.gov,/recalls,1552359,1166083,739715,1.3312594386505934,148.13006720407211,0.56774689280265644
www.nhtsa.gov,/campaign/right-seat,965099,367225,256704,2.6280863230989175,440.23037245350673,0.72986860916331953
www.faa.gov,/,866264,403235,280459,2.1482857390851486,171.61959314641092,0.58703237566183486
www.nhtsa.gov,/campaign/drive-sober-or-get-pulled-over,858207,774514,698099,1.1080587310235839,28.990646006771986,0.879387590153309
www.fmcsa.dot.gov,/,552569,179349,134180,3.0809706215256289,323.70914014462306,0.29946082777155153
www.nhtsa.gov,/,438550,166194,127354,2.6387835902619829,235.80931404661422,0.2851908011119535
www.nhtsa.gov,/campaign/if-you-feel-different-you-drive-different,394647,348129,314677,1.1336228811733582,31.738095844322078,0.85659338923215245
www.nhtsa.gov,/search-safety-issues#recall,286047,28994,28378,9.8657308408636268,189.97227194416084,0.22483962199075672
www.transportation.gov,/,251448,125057,109346,2.0106671357860817,123.10698584081659,0.49154385600166323
www.nhtsa.gov,/vin-decoder,222147,191603,166433,1.1594129528243295,118.45079823820608,0.41051027384748673
nationalregistry.fmcsa.dot.gov,/home,220009,133962,70176,1.6423239426105911,166.45119353924247,0.52881414132365889
www.nhtsa.gov,/es/campaign/manejar-borracho,205570,192773,165465,1.066383777811208,23.459285781442421,0.87361819341920288
hazmatsafety.dot.gov,/,153646,29412,29712,5.2239222086223309,10.004041470930234,0.060689514483884127
www.nhtsa.gov,/campaign/heatstroke,138739,132474,124736,1.0472922988661926,20.141900675113607,0.92362274861482252
pipelinesafety.dot.gov,/,137966,26355,26608,5.2349079870992226,11.886750700739896,0.10130904951622083
www.fmcsa.dot.gov,/registration/updating-your-registration,125368,46230,38723,2.7118321436296777,373.76182826026388,0.25249837767683325
www.fmcsa.dot.gov,/registration,124995,29956,24788,4.172619842435572,409.09188933799572,0.17839497930297771
www.nhtsa.gov,/campaign/safercargov,112713,49128,33459,2.2942721055202737,213.03636045611464,0.24010747435271129
mutcd.fhwa.dot.gov,/,109450,37030,31536,2.9557115852011884,212.6014354490143,0.28117742371050497
www.nhtsa.gov,/es/campaign/manejar-drogado,104020,93355,79260,1.114241336832521,29.301579797761235,0.84631781907771408
