domain,page,page_title,pageviews,visits,active_visitors,pageviews_per_session,avg_session_duration,bounce_rate
www.nhtsa.gov,www.nhtsa.gov/recalls,"Check for Recalls: Vehicle, Car Seat, Tire, Equipment | NHTSA",1540630,1387992,840093,1.109970374469017,124.13499030412351,0.53295624182271939
www.nhtsa.gov,www.nhtsa.gov/campaign/right-seat,"Car Seat Finder Tool: Find the Right Car Seat | NHTSA",957128,371281,252473,2.577907299323154,433.25008312506162,0.72906774114484718
www.nhtsa.gov,www.nhtsa.gov/campaign/drive-sober-or-get-pulled-over,"Drive Sober or Get Pulled Over | Drunk Driving | NHTSA",853425,785808,707525,1.08604773685175,28.213749320223265,0.877023395027793
www.faa.gov,www.faa.gov/,Federal Aviation Administration,522874,464159,310539,1.1264976010375756,98.071287855764936,0.56093924711144239
www.nhtsa.gov,www.nhtsa.gov/campaign/if-you-feel-different-you-drive-different,"If You Feel Different, You Drive Different | NHTSA",393087,353399,314504,1.1123036567732223,30.958311082119643,0.84979866949255656
www.fmcsa.dot.gov,www.fmcsa.dot.gov/,Federal Motor Carrier Safety Administration,299775,226657,163052,1.3225931694145781,142.12312543136986,0.260366986239119
www.nhtsa.gov,www.nhtsa.gov/search-safety-issues#recall,"Search Safety Issues | NHTSA",285334,29263,28286,9.7506749137135635,185.51804763520488,0.22499401975190514
www.nhtsa.gov,www.nhtsa.gov/,"NHTSA | National Highway Traffic Safety Administration",219534,191443,143907,1.1467329701268785,71.798630130388673,0.27044603354523278
www.nhtsa.gov,www.nhtsa.gov/vin-decoder,"VIN Decoder | NHTSA",208492,208434,167705,1.00027826554209,102.72673697217346,0.43795158179567634
www.nhtsa.gov,www.nhtsa.gov/es/campaign/manejar-borracho,"Manejarborracho | NHTSA",203808,195925,166084,1.0402347837182595,22.542495996753861,0.86953170856194972
nationalregistry.fmcsa.dot.gov,nationalregistry.fmcsa.dot.gov/home,FMCSA National Registry,192174,182947,84617,1.0504353719929815,131.51543920138619,0.4864304962639453
www.transportation.gov,www.transportation.gov/,Department of Transportation,173847,140684,118853,1.2357268772568308,66.6613564582824,0.45214096841147539
www.fmcsa.dot.gov,www.fmcsa.dot.gov/registration/ask-fmcsa,"AskFMCSA | FMCSA",142992,75246,46799,1.9003269276772188,238.91287823871036,0.184381894054169
www.nhtsa.gov,www.nhtsa.gov/campaign/heatstroke,"Child Heatstroke Prevention: Prevent Hot Car Deaths | NHTSA",138053,134044,124365,1.0299080898809345,19.469020828436932,0.9209065679925994
www.fmcsa.dot.gov,www.fmcsa.dot.gov/registration,"FMCSA Registration | FMCSA",120461,82893,66684,1.4532107656858841,107.80506494556838,0.068871919221164632
www.fmcsa.dot.gov,www.fmcsa.dot.gov/registration/updating-your-registration,"Updating Your Registration or Authority | FMCSA",118449,88966,68356,1.3313962637412045,192.84029895714093,0.18037227704965941
www.nhtsa.gov,www.nhtsa.gov/es/campaign/manejar-drogado,"Manejardrogado | NHTSA",103455,95477,80143,1.0835593912670067,28.025035166039984,0.83748965719492652
www.fmcsa.dot.gov,www.fmcsa.dot.gov/registration/form-mcs-150-and-instructions-motor-carrier-identification-report,"Form MCS-150 and Instructions - Motor Carrier Identification Report | FMCSA",98005,70061,51574,1.398852428597936,203.849284700461,0.19281768744379899
www.faa.gov,www.faa.gov/uas/commercial_operators/become_a_drone_pilot,"Become a Drone Pilot | Federal Aviation Administration",70141,63742,46071,1.1003890684321169,181.47927449204607,0.3799064980703461
www.nhtsa.gov,www.nhtsa.gov/recalls,(not set),69732,101155,26219,0.68935791606939845,121.29570086790568,0.77652118036676387
