domain,page,page_title,pageviews
www.nhtsa.gov,www.nhtsa.gov/recalls,"Check for Recalls: Vehicle, Car Seat, Tire, Equipment | NHTSA",371013
www.nhtsa.gov,www.nhtsa.gov/campaign/drive-sober-or-get-pulled-over,"Drive Sober or Get Pulled Over | Drunk Driving | NHTSA",189310
www.nhtsa.gov,www.nhtsa.gov/search-safety-issues#recall,"Search Safety Issues | NHTSA",126174
www.faa.gov,www.faa.gov/,Federal Aviation Administration,116009
www.nhtsa.gov,www.nhtsa.gov/campaign/right-seat,"Car Seat Finder Tool: Find the Right Car Seat | NHTSA",110436
www.nhtsa.gov,www.nhtsa.gov/campaign/if-you-feel-different-you-drive-different,"If You Feel Different, You Drive Different | NHTSA",81912
www.fmcsa.dot.gov,www.fmcsa.dot.gov/,Federal Motor Carrier Safety Administration,77179
www.nhtsa.gov,www.nhtsa.gov/es/campaign/manejar-borracho,"Manejarborracho | NHTSA",52861
www.nhtsa.gov,www.nhtsa.gov/vin-decoder,"VIN Decoder | NHTSA",48382
www.nhtsa.gov,www.nhtsa.gov/,"NHTSA | National Highway Traffic Safety Administration",48171
nationalregistry.fmcsa.dot.gov,nationalregistry.fmcsa.dot.gov/home,FMCSA National Registry,44296
www.transportation.gov,www.transportation.gov/,Department of Transportation,38411
www.fmcsa.dot.gov,www.fmcsa.dot.gov/registration/updating-your-registration,"Updating Your Registration or Authority | FMCSA",36257
www.fmcsa.dot.gov,www.fmcsa.dot.gov/registration/ask-fmcsa,"AskFMCSA | FMCSA",35335
www.fmcsa.dot.gov,www.fmcsa.dot.gov/registration,"FMCSA Registration | FMCSA",32576
www.nhtsa.gov,www.nhtsa.gov/campaign/heatstroke,"Child Heatstroke Prevention: Prevent Hot Car Deaths | NHTSA",31102
www.fmcsa.dot.gov,www.fmcsa.dot.gov/registration/form-mcs-150-and-instructions-motor-carrier-identification-report,"Form MCS-150 and Instructions - Motor Carrier Identification Report | FMCSA",28891
www.nhtsa.gov,www.nhtsa.gov/es/campaign/manejar-drogado,"Manejardrogado | NHTSA",22830
www.fmcsa.dot.gov,www.fmcsa.dot.gov/stophumantrafficking,"Your Roads. Their Freedom. | FMCSA",19088
www.faa.gov,www.faa.gov/uas/commercial_operators/become_a_drone_pilot,"Become a Drone Pilot | Federal Aviation Administration",17607
