date,browser,os_version,visits
2024-01-04,Internet Explorer,8,3983
2024-01-04,Internet Explorer,2000,101
2024-01-03,Internet Explorer,8,3994
2024-01-03,Internet Explorer,2000,839
2024-01-02,Internet Explorer,8,4146
2024-01-01,Internet Explorer,2000,15921
2024-01-01,Internet Explorer,8,2689
2023-12-31,Internet Explorer,2000,1618
2023-12-31,Internet Explorer,8,1583
2023-12-30,Internet Explorer,2000,10800
2023-12-30,Internet Explorer,8,5105
2023-12-29,Internet Explorer,8,4769
2023-12-29,Internet Explorer,2000,1770
2023-12-28,Internet Explorer,8,4514
2023-12-28,Internet Explorer,2000,829
2023-12-27,Internet Explorer,8,4325
2023-12-27,Internet Explorer,2000,107
2023-12-26,Internet Explorer,8,4045
2023-12-25,Internet Explorer,2000,13804
2023-12-24,Internet Explorer,2000,1322
2023-12-23,Internet Explorer,8,4233
2023-12-22,Internet Explorer,2000,14836
2023-12-22,Internet Explorer,8,4534
2023-12-21,Internet Explorer,8,4184
2023-12-20,Internet Explorer,8,3878
2023-12-20,Internet Explorer,2000,684
2023-12-19,Internet Explorer,8,3966
2023-12-18,Internet Explorer,8,4127
2023-12-17,Internet Explorer,8,1930
2023-12-16,Internet Explorer,8,4989
2023-12-15,Internet Explorer,8,4386
2023-12-14,Internet Explorer,8,3750
2023-12-13,Internet Explorer,8,3813
2023-12-12,Internet Explorer,8,3808
2023-12-11,Internet Explorer,8,3993
2023-12-10,Internet Explorer,8,2042
2023-12-09,Internet Explorer,8,5322
2023-12-08,Internet Explorer,8,4553
2023-12-07,Internet Explorer,2000,8866
2023-12-07,Internet Explorer,8,3883
2023-12-06,Internet Explorer,2000,7021
2023-12-06,Internet Explorer,8,3876
2023-12-05,Internet Explorer,2000,24277
2023-12-05,Internet Explorer,8,3942
2023-12-04,Internet Explorer,8,4137
2023-12-04,Internet Explorer,2000,2038
2023-12-03,Internet Explorer,8,1984
2023-12-03,Internet Explorer,2000,1098
2023-12-02,Internet Explorer,8,5368
2023-12-01,Internet Explorer,8,4246
2023-12-01,Internet Explorer,2000,686
2023-11-30,Internet Explorer,2000,11163
2023-11-30,Internet Explorer,8,3928
2023-11-29,Internet Explorer,2000,7373
2023-11-29,Internet Explorer,8,3813
2023-11-28,Internet Explorer,2000,30280
2023-11-28,Internet Explorer,8,3900
2023-11-27,Internet Explorer,8,3946
2023-11-27,Internet Explorer,2000,2139
2023-11-26,Internet Explorer,8,1901
2023-11-26,Internet Explorer,2000,1086
2023-11-25,Internet Explorer,8,4749
2023-11-24,Internet Explorer,8,4679
2023-11-24,Internet Explorer,2000,683
2023-11-23,Internet Explorer,2000,11350
2023-11-22,Internet Explorer,8,3829
2023-11-21,Internet Explorer,8,4269
2023-11-20,Internet Explorer,8,4816
2023-11-19,Internet Explorer,8,2241
2023-11-18,Internet Explorer,8,5839
2023-11-17,Internet Explorer,8,4804
2023-11-16,Internet Explorer,8,4441
2023-11-15,Internet Explorer,8,4286
2023-11-14,Internet Explorer,8,4315
2023-11-13,Internet Explorer,8,4730
2023-11-12,Internet Explorer,8,2348
2023-11-11,Internet Explorer,8,5940
2023-11-10,Internet Explorer,8,5364
2023-11-09,Internet Explorer,8,4605
2023-11-08,Internet Explorer,8,4771
2023-11-07,Internet Explorer,8,4747
2023-11-06,Internet Explorer,8,5032
2023-11-05,Internet Explorer,8,2512
2023-11-04,Internet Explorer,8,6103
2023-11-03,Internet Explorer,8,4956
2023-11-02,Internet Explorer,8,4510
2023-11-01,Internet Explorer,8,4464
2023-10-31,Internet Explorer,8,4310
2023-10-30,Internet Explorer,8,5155
2023-10-29,Internet Explorer,8,2510
2023-10-28,Internet Explorer,8,6160
2023-10-27,Internet Explorer,8,5631
2023-10-26,Internet Explorer,8,5152
2023-10-25,Internet Explorer,8,5065
2023-10-24,Internet Explorer,8,5398
2023-10-23,Internet Explorer,8,5632
2023-10-23,Internet Explorer,10,103
2023-10-22,Internet Explorer,8,2653
2023-10-21,Internet Explorer,8,6552
2023-10-20,Internet Explorer,8,5931
2023-10-19,Internet Explorer,8,5370
2023-10-18,Internet Explorer,8,5635
2023-10-17,Internet Explorer,8,5374
2023-10-17,Internet Explorer,2000,1201
2023-10-16,Internet Explorer,8,5061
2023-10-16,Internet Explorer,2000,2853
2023-10-16,Internet Explorer,10,114
2023-10-15,Internet Explorer,8,2362
2023-10-14,Internet Explorer,2000,22656
2023-10-14,Internet Explorer,8,6139
2023-10-13,Internet Explorer,2000,8400
2023-10-13,Internet Explorer,8,5389
2023-10-13,Internet Explorer,10,113
2023-10-12,Internet Explorer,2000,13683
2023-10-12,Internet Explorer,8,5087
2023-10-12,Internet Explorer,10,110
2023-10-11,Internet Explorer,2000,15673
2023-10-11,Internet Explorer,8,4801
2023-10-10,Internet Explorer,8,4919
2023-10-10,Internet Explorer,2000,2333
2023-10-09,Internet Explorer,8,5245
2023-10-09,Internet Explorer,2000,2682
2023-10-08,Internet Explorer,8,2491
2023-10-07,Internet Explorer,8,6235
2023-10-07,Internet Explorer,2000,5076
