date,os_version,visits
2023-11-28,10,156913
2023-11-07,10,155802
2024-01-03,10,153910
2023-12-13,10,151806
2023-12-05,10,150948
2023-11-29,10,150403
2023-12-11,10,149110
2023-10-24,10,148522
2023-12-12,10,148418
2023-10-30,10,148415
2023-11-30,10,148370
2023-11-27,10,147982
2023-12-19,10,147879
2023-11-06,10,147793
2023-10-11,10,147706
2024-01-02,10,147231
2023-11-14,10,146878
2023-12-06,10,146850
2023-12-04,10,146528
2023-12-07,10,146338
2023-11-08,10,146276
2023-11-15,10,144359
2023-10-25,10,142051
2023-11-01,10,142022
2023-10-17,10,140770
2023-11-13,10,140740
2023-11-02,10,140629
2023-10-16,10,140401
2024-01-04,10,140094
2023-11-09,10,139769
2023-12-20,10,139541
2023-10-26,10,139263
2023-10-23,10,138982
2023-10-31,10,138929
2023-11-20,10,137819
2023-10-18,10,137730
2023-11-16,10,137035
2023-10-12,10,136345
2023-10-19,10,134905
2023-11-21,10,134627
2023-12-18,10,134399
2023-12-14,10,132714
2023-10-10,10,130520
2023-12-21,10,127846
2023-12-01,10,121636
2023-10-27,10,121320
2023-10-13,10,118060
2023-11-03,10,117886
2023-11-17,10,117125
2023-12-08,10,117059
2023-10-20,10,113819
2023-12-15,10,109491
2023-10-09,10,108618
2023-12-27,10,102804
2023-12-28,10,102453
2023-11-22,10,99913
2023-11-10,10,93045
2023-12-22,10,90981
2023-12-29,10,84234
2023-12-26,10,83436
2023-11-24,10,55987
2023-11-27,11,55788
2023-12-04,11,55346
2023-12-05,11,55026
2023-12-13,11,54721
2023-11-28,11,54596
2023-12-11,11,54591
2023-12-12,11,53728
2023-11-29,11,53549
2024-01-02,11,53348
2024-01-03,11,53143
2023-11-15,11,52853
2023-11-06,11,52722
2024-01-04,11,52277
2023-11-30,11,51738
2023-11-13,11,51659
2023-11-20,11,51658
2023-11-14,11,51600
2023-12-06,11,51596
2023-11-07,11,51487
2023-10-30,11,50997
2023-12-19,11,50962
2023-11-02,11,50588
2023-10-24,11,50386
2023-12-18,11,49761
2023-10-25,11,49708
2023-11-08,11,49650
2023-10-16,11,49494
2023-12-14,11,49465
2023-10-23,11,49461
2023-10-31,11,49454
2023-11-01,11,49402
2023-10-17,11,49205
2023-11-16,11,48837
2023-12-20,11,48760
2023-11-09,11,48502
2023-12-07,11,48455
2023-10-18,11,48297
2023-11-21,11,47593
2023-10-26,11,47574
2023-10-11,11,47548
2023-10-12,11,47200
2023-10-19,11,45860
2023-10-10,11,45728
2023-12-21,11,45611
2023-12-08,11,43977
2023-10-14,10,43910
2023-10-09,11,43059
2023-12-01,11,42726
2023-12-27,11,42509
2023-12-15,11,42196
2023-12-30,10,42140
2023-11-17,11,41525
2023-11-03,11,41351
2023-10-27,11,41278
2023-11-04,10,41148
2023-12-28,11,40718
2023-11-18,10,40513
2023-10-28,10,40166
2023-12-02,10,39730
2023-10-21,10,39610
2023-12-09,10,39294
2023-10-20,11,39161
2023-10-13,11,39146
2023-11-11,10,39064
2023-12-16,10,39048
2023-10-07,10,38865
2023-11-25,10,36438
2023-11-10,11,35760
2023-12-29,11,35567
2023-11-22,11,35418
2023-10-29,10,35125
2023-12-03,10,34847
2023-12-10,10,34785
2023-12-26,11,34178
2024-01-01,10,34142
2023-11-26,10,33619
2023-11-05,10,33411
2023-11-23,10,33364
2023-12-23,10,32850
2023-12-22,11,32726
2023-11-19,10,32661
2023-11-12,10,31904
2023-10-22,10,31674
2023-12-17,10,31573
2023-10-15,10,31142
2023-10-08,10,30410
2023-11-28,2000,30280
2023-12-05,2000,24277
2023-12-31,10,24190
2023-12-25,10,23170
2023-10-14,2000,22656
2023-11-24,11,22549
2023-12-03,11,20494
2023-11-26,11,20237
2023-12-24,10,20070
2023-12-10,11,19895
2023-11-05,11,19611
2023-12-30,11,19444
2023-12-02,11,19412
2023-11-12,11,19160
2023-12-09,11,19133
2023-11-19,11,18899
2023-11-18,11,18514
2023-10-29,11,18449
2023-10-22,11,18192
2023-12-16,11,17919
2023-12-17,11,17777
2023-10-15,11,17699
2023-11-04,11,17563
2023-11-11,11,17387
2023-10-08,11,17282
2023-10-28,11,16885
2023-10-21,11,16837
2023-10-14,11,16677
2023-11-25,11,16544
2024-01-01,11,16517
2023-10-07,11,16396
2024-01-01,2000,15921
2023-11-23,11,15900
2023-10-11,2000,15673
2023-12-23,11,15221
2023-12-22,2000,14836
2023-12-31,11,14445
2023-12-25,2000,13804
2023-10-12,2000,13683
2023-10-07,8,13463
2023-10-14,8,13363
2023-10-21,8,13156
2023-11-11,8,12412
2023-11-04,8,12399
2023-10-28,8,12327
2023-10-20,8,12260
2023-11-18,8,12133
2023-12-25,11,11898
2023-10-13,8,11680
2023-10-27,8,11669
2023-10-09,8,11536
2023-10-23,8,11393
2023-10-18,8,11372
2023-11-23,2000,11350
2023-10-19,8,11188
2023-11-30,2000,11163
2023-11-10,8,11152
2023-10-24,8,11104
2023-12-02,8,11098
2023-10-16,8,11007
2023-10-10,8,10997
2023-12-09,8,10990
2023-12-24,11,10926
2023-10-12,8,10819
2023-12-30,2000,10800
2023-10-17,8,10670
2023-10-30,8,10642
2023-10-11,8,10463
2023-10-26,8,10371
2023-10-25,8,10331
2023-11-06,8,10331
2023-11-03,8,10298
2023-12-30,8,10283
2023-12-16,8,10177
2023-11-07,8,10047
2023-11-20,8,9974
2023-11-24,8,9949
2023-11-13,8,9881
2023-11-17,8,9864
2023-12-29,8,9845
2023-11-08,8,9776
2023-11-25,8,9528
2023-11-09,8,9520
2023-12-22,8,9481
2023-12-15,8,9304
2023-11-02,8,9259
2023-12-28,8,9168
2023-12-08,8,9159
2023-11-01,8,9079
2023-11-14,8,9014
2023-12-01,8,9005
2023-11-16,8,8988
2023-12-27,8,8944
2023-12-04,8,8906
2023-11-15,8,8885
2023-12-07,2000,8866
2023-12-23,8,8839
2023-12-21,8,8770
2023-10-31,8,8760
2023-12-18,8,8716
2023-11-21,8,8712
2024-01-04,8,8618
2024-01-02,8,8595
2024-01-03,8,8442
2023-10-13,2000,8403
2023-12-26,8,8399
2023-11-27,8,8277
2023-12-19,8,8231
2023-12-05,8,8224
2023-12-11,8,8192
2023-12-07,8,8173
2023-11-30,8,8152
2023-12-13,8,8119
2023-11-29,8,8081
2023-12-06,8,8081
2023-11-28,8,8059
2023-12-12,8,8040
2023-12-14,8,8006
2023-12-20,8,7974
2023-11-22,8,7906
2023-11-29,2000,7375
2023-12-06,2000,7021
2024-01-01,8,5509
2023-10-08,8,5475
2023-10-22,8,5388
2023-10-29,8,5116
2023-10-07,2000,5076
2023-10-15,8,5041
2023-11-05,8,5015
2023-11-12,8,4843
2023-11-19,8,4600
2023-12-10,8,4138
2023-12-03,8,3989
2023-11-26,8,3934
2023-12-17,8,3872
2024-01-02,7,3692
2023-12-05,7,3367
2023-12-31,8,3157
2024-01-04,7,3061
2023-11-02,7,2990
2023-11-01,7,2980
2023-12-11,7,2928
2023-10-31,7,2924
2023-12-06,7,2891
2023-10-16,2000,2853
