page_title,active_visitors
(other),52282
"Internal Revenue Service | An official website of the United States government",2501
"Site Index Search | Internal Revenue Service",1855
"Tax Withholding Estimator | Internal Revenue Service",869
"Beneficial Ownership Information Reporting | FinCEN.gov",801
"Forms & Instructions | Internal Revenue Service",747
"Your Online Account | Internal Revenue Service",743
"Tax Withholding | Internal Revenue Service",618
"Forms and Pubs Index Search | Internal Revenue Service",617
"Direct Pay | Internal Revenue Service",610
"Payments | Internal Revenue Service",578
Log In — TreasuryDirect,568
"Your account | Internal Revenue Service",475
"Refunds | Internal Revenue Service",368
"Get Transcript | Internal Revenue Service",341
"About Form W-9, Request for Taxpayer Identification Number and Certification | Internal Revenue Service",320
"Telephone Assistance | Internal Revenue Service",309
Home — TreasuryDirect,290
"Apply for an Employer Identification Number (EIN) online | Internal Revenue Service",284
"Forms, Instructions and Publications | Internal Revenue Service",254
"Get An Identity Protection PIN | Internal Revenue Service",219
"Prior Year Forms and Instructions | Internal Revenue Service",212
"e-Services | Internal Revenue Service",211
"Resource Center | U.S. Department of the Treasury",208
"Pay Your Taxes by Debit or Credit Card or Digital Wallet | Internal Revenue Service",207
"IRS provides tax inflation adjustments for tax year 2024 | Internal Revenue Service",199
"E-file Forms 1099 with IRIS | Internal Revenue Service",183
"Online Payment Agreement Application | Internal Revenue Service",182
"IRIS Application for TCC | Internal Revenue Service",142
"United States Department of the Treasury Financial Crimes Enforcement Network | FinCEN.gov",133
"Employer ID Numbers | Internal Revenue Service",129
"Federal Awards | Advanced Search | USAspending",125
"Tax professionals | Internal Revenue Service",122
"About Form 1040, U.S. Individual Income Tax Return | Internal Revenue Service",114
"Filing Information Returns Electronically (FIRE) | Internal Revenue Service",112
USAspending.gov,109
"401(k) limit increases to $23,000 for 2024, IRA limit rises to $7,000 | Internal Revenue Service",103
"Free File: Do your Federal Taxes for Free | Internal Revenue Service",101
"Individuals | Internal Revenue Service",100
"About Form 1099-MISC, Miscellaneous Information | Internal Revenue Service",98
"Estimated taxes | Internal Revenue Service",98
"Forms and Publications by U.S. Mail | Internal Revenue Service",96
Savings Bond Calculator — TreasuryDirect,91
"Businesses | Internal Revenue Service",88
"About Form W-2, Wage and Tax Statement | Internal Revenue Service",86
"Annual Electronic Filing Requirement for Small Exempt Organizations — Form 990-N (e-Postcard) | Internal Revenue Service",85
"Contact Your Local IRS Office | Internal Revenue Service",84
"About Form W-8 IMY, Certificate of Foreign Intermediary, Foreign Flow-Through Entity, or Certain U.S. Branches for United States Tax Withholding and Reporting | Internal Revenue Service",83
"Announcements, Data & Results — TreasuryDirect",83
"E-file Provider Services | Internal Revenue Service",83
"Instructions for Forms 1099-MISC and 1099-NEC (01/2024) | Internal Revenue Service",83
I bonds — TreasuryDirect,81
"Where's My Amended Return? | Internal Revenue Service",81
"Small Entity Compliance Guide | FinCEN.gov",79
"About Form W-4, Employee's Withholding Certificate | Internal Revenue Service",77
"Front page | U.S. Department of the Treasury",77
"Publication 590-B (2022), Distributions from Individual Retirement Arrangements (IRAs) | Internal Revenue Service",76
Cash EE or I savings bonds — TreasuryDirect,75
"E-file information returns | Internal Revenue Service",75
"Online Ordering for Information Returns and Employer Returns | Internal Revenue Service",75
"Order Products | Internal Revenue Service",73
"ITA | Internal Revenue Service",72
"Charities and nonprofits | Internal Revenue Service",69
"Retrieve Your IP PIN | Internal Revenue Service",69
"Sales Open for 2024 Harriet Tubman Commemorative Coins | U.S. Mint",67
"Credits for new clean vehicles purchased in 2023 or after | Internal Revenue Service",66
"PTIN Requirements for Tax Return Preparers | Internal Revenue Service",64
"EFTPS: The Electronic Federal Tax Payment System | Internal Revenue Service",63
"About Form 1099-NEC, Nonemployee Compensation | Internal Revenue Service",61
"Retirement Topics - IRA Contribution Limits | Internal Revenue Service",61
"Retirement Topics — Required Minimum Distributions (RMDs) | Internal Revenue Service",60
"Filing | Internal Revenue Service",58
"Online account frequently asked questions | Internal Revenue Service",58
"Tax Exempt Organization Search | Internal Revenue Service",58
"U.S. Beneficial Ownership Information Registry Now Accepting Reports | FinCEN.gov",56
"Taxpayer Identification Number (TIN) Matching | Internal Revenue Service",55
Treasury Bills — TreasuryDirect,55
Harriet Tubman 2024 Proof Five-Dollar Gold Coin - US Mint,54
"IRS issues standard mileage rates for 2024; mileage rate increases to 67 cents a mile, up 1.5 cents from 2023 | Internal Revenue Service",54
"Credits & Deductions for Individuals | Internal Revenue Service",51
"Earned Income and Earned Income Tax Credit (EITC) Tables | Internal Revenue Service",51
"Get ready to file your taxes | Internal Revenue Service",51
"Search for Tax Exempt Organizations | Internal Revenue Service",51
"Affordable Care Act Information Returns (AIR) | Internal Revenue Service",50
Official Site of the United States Mint,50
"Retirement Plan and IRA Required Minimum Distributions FAQs | Internal Revenue Service",50
Upcoming Auctions — TreasuryDirect,50
"Lost or Misplaced Your EIN? | Internal Revenue Service",49
"Tools | Internal Revenue Service",49
"Business tax account | Internal Revenue Service",47
"IRS operations: Status of mission-critical functions | Internal Revenue Service",45
"Information Returns Service | Internal Revenue Service",45
"IRS provides tax inflation adjustments for tax year 2023 | Internal Revenue Service",44
"About Form 941, Employer's Quarterly Federal Tax Return | Internal Revenue Service",43
"E-file options | Internal Revenue Service",43
TTB Login,43
Recent Auction Results — TreasuryDirect,42
"Schedules for Form 1040 and Form 1040-SR | Internal Revenue Service",42
"Small Business Resources | FinCEN.gov",42
"Understanding your IRS notice or letter | Internal Revenue Service",42
"How to Apply for an EIN | Internal Revenue Service",41
Harriet Tubman 2024 Three-Coin Proof Set - US Mint,40
How Do I...? — TreasuryDirect,40
"About General Instructions for Certain Information Returns | Internal Revenue Service",39
"Harriet Tubman Commemorative Coins | U.S. Mint",39
"Applicable Federal Rates | Internal Revenue Service",38
"Earned Income Tax Credit (EITC) | Internal Revenue Service",38
"ITA Index Search | Internal Revenue Service",38
"Required Minimum Distribution Worksheets | Internal Revenue Service",38
"About Information Returns (IR) Application for Transmitter Control Code (TCC) for Filing Information Returns Electronically (FIRE) | Internal Revenue Service",37
"Child Tax Credit | Internal Revenue Service",37
"Register your dealership to enable credits for clean vehicle buyers | Internal Revenue Service",37
Harriet Tubman 2024 Proof Silver Dollar Coin - US Mint,36
"IRA Required Minimum Distribution Worksheet | Internal Revenue Service",36
Treasury Hunt®,36
"About Form 1040-ES, Estimated Tax for Individuals | Internal Revenue Service",35
"Address Changes | Internal Revenue Service",35
Forms for Savings Bonds — TreasuryDirect,35
I bonds interest rates — TreasuryDirect,35
"Transcript Delivery System (TDS) | Internal Revenue Service",34
"Free File Fillable Forms | Internal Revenue Service",33
"Get Ready: IRS website has helpful resources for taxpayers | Internal Revenue Service",33
