date,browser,visits
2024-01-04,Chrome,1452332
2024-01-04,Safari,580394
2024-01-04,Edge,366788
2024-01-04,Firefox,64255
2024-01-04,Android Webview,19894
2024-01-04,Samsung Internet,19746
2024-01-04,Safari (in-app),15227
2024-01-04,Internet Explorer,5477
2024-01-04,(not set),3712
2024-01-04,Amazon Silk,2617
2024-01-04,Opera,2502
2024-01-04,Mozilla Compatible Agent,1410
2024-01-04,YaBrowser,234
2024-01-04,Whale Browser,96
2024-01-04,Aloha Browser,37
2024-01-04,Coc Coc,32
2024-01-04,UC Browser,28
2024-01-04,SeaMonkey,24
2024-01-04,DuckDuckGo Browser,20
2024-01-04,Android Runtime,18
2024-01-04,Mozilla,16
2024-01-04,Opera Mini,11
2024-01-04,PaleMoon,10
2024-01-04,Waterfox,8
2024-01-04,Android Browser,7
2024-01-04,Meta Quest Browser,6
2024-01-04,Iron,4
2024-01-04,Lynx,2
2024-01-04,BlackBerry,1
2024-01-04,Puffin,1
2024-01-03,Chrome,1527635
2024-01-03,Safari,600392
2024-01-03,Edge,359057
2024-01-03,Firefox,64435
2024-01-03,Android Webview,19031
2024-01-03,Safari (in-app),18151
2024-01-03,Samsung Internet,18038
2024-01-03,(not set),3954
2024-01-03,Opera,2550
2024-01-03,Amazon Silk,2372
2024-01-03,Mozilla Compatible Agent,967
2024-01-03,Internet Explorer,888
2024-01-03,YaBrowser,265
2024-01-03,Whale Browser,119
2024-01-03,UC Browser,43
2024-01-03,Coc Coc,40
2024-01-03,Aloha Browser,25
2024-01-03,Android Runtime,18
2024-01-03,SeaMonkey,17
2024-01-03,DuckDuckGo Browser,16
2024-01-03,Mozilla,16
2024-01-03,PaleMoon,9
2024-01-03,Android Browser,6
2024-01-03,Opera Mini,6
2024-01-03,Waterfox,6
2024-01-03,Lynx,3
2024-01-03,Phoenix Browser,3
2024-01-03,Meta Quest Browser,2
2024-01-03,Seznam,1
2024-01-02,Chrome,1456110
2024-01-02,Safari,619783
2024-01-02,Edge,375491
2024-01-02,Firefox,69213
2024-01-02,Safari (in-app),21494
2024-01-02,Samsung Internet,18901
2024-01-02,Android Webview,18123
2024-01-02,(not set),3828
2024-01-02,Opera,2556
2024-01-02,Amazon Silk,2508
2024-01-02,Mozilla Compatible Agent,1013
2024-01-02,Internet Explorer,951
2024-01-02,YaBrowser,226
2024-01-02,Whale Browser,130
2024-01-02,Coc Coc,30
2024-01-02,PaleMoon,22
2024-01-02,Aloha Browser,21
2024-01-02,DuckDuckGo Browser,21
2024-01-02,Opera Mini,19
2024-01-02,Mozilla,17
2024-01-02,Android Runtime,15
2024-01-02,Android Browser,12
2024-01-02,SeaMonkey,11
2024-01-02,UC Browser,10
2024-01-02,Waterfox,10
2024-01-02,Meta Quest Browser,5
2024-01-02,Iron,4
2024-01-02,Lynx,3
2024-01-02,Phoenix Browser,2
2024-01-02,Puffin,2
2024-01-01,Chrome,657141
2024-01-01,Safari,389256
2024-01-01,Edge,109657
2024-01-01,Firefox,31229
2024-01-01,Safari (in-app),14096
2024-01-01,Android Webview,12822
2024-01-01,Samsung Internet,12062
2024-01-01,(not set),3363
2024-01-01,Amazon Silk,1868
2024-01-01,Opera,1517
2024-01-01,Mozilla Compatible Agent,857
2024-01-01,Internet Explorer,606
2024-01-01,YaBrowser,124
2024-01-01,Whale Browser,69
2024-01-01,Coc Coc,30
2024-01-01,PaleMoon,21
2024-01-01,UC Browser,19
2024-01-01,Mozilla,17
2024-01-01,Opera Mini,17
2024-01-01,Aloha Browser,14
2024-01-01,DuckDuckGo Browser,14
2024-01-01,SeaMonkey,9
