date,mobile_device,visits
2024-01-04,Chrome,874111
2024-01-04,iPhone,553407
2024-01-04,Edge,364831
2024-01-04,Safari,299715
2024-01-04,Firefox,53115
2024-01-04,(not set),37557
2024-01-04,ChromeBook,26700
2024-01-04,iPad,14134
2024-01-04,SM-S918U,11543
2024-01-04,SM-S908U,11080
2024-01-04,SM-A146U,7876
2024-01-04,SM-S901U,7331
2024-01-04,SM-G991U,6042
2024-01-04,SM-S911U,5876
2024-01-04,Internet Explorer,5442
2024-01-04,SM-G998U,5414
2024-01-04,SM-S916U,4283
2024-01-04,SM-S906U,3911
2024-01-04,SM-A037U,3155
2024-01-04,SM-G996U,3074
2024-01-04,Pixel 7,3055
2024-01-04,moto g pure,2992
2024-01-04,Pixel 7 Pro,2955
2024-01-04,SM-A326B,2891
2024-01-04,SM-A136U,2877
2024-01-04,SM-N986U,2784
2024-01-04,Pixel 6a,2711
2024-01-04,SM-G781U,2700
2024-01-04,Pixel 6,2493
2024-01-04,SM-S918U1,2479
2024-01-04,Moto G Stylus 5G,2471
2024-01-04,moto g play (2023),2300
2024-01-04,SM-S908U1,2227
2024-01-04,Moto G Stylus 5G (2022),2056
2024-01-04,Firefox for Android,2006
2024-01-04,Moto G 5G (2022),1971
2024-01-04,SM-G973U,1952
2024-01-04,Opera,1941
2024-01-04,SM-G960U,1833
2024-01-04,SM-G975U,1804
2024-01-04,SM-G781V,1803
2024-01-04,Pixel 6 Pro,1774
2024-01-04,SM-G990U,1735
2024-01-04,SM-G970U,1725
2024-01-04,SM-A536U,1651
2024-01-04,Moto G Power (2022),1646
2024-01-04,SM-A546U,1631
2024-01-04,SM-N981U,1578
2024-01-04,SM-A037F,1550
2024-01-04,SM-N960U,1525
2024-01-04,Pixel 8 Pro,1419
2024-01-04,SM-F936U,1414
2024-01-04,SM-N975U,1392
2024-01-04,SM-A125U,1383
2024-01-04,SM-G986U,1372
2024-01-04,moto g stylus 5G - 2023,1356
2024-01-04,SM-G990U2,1328
2024-01-04,SM-A236U,1277
2024-01-04,SM-G965U,1270
2024-01-04,Moto G Power (2021),1185
2024-01-04,KFTRWI,1177
2024-01-04,iPhone 14 Pro Max,1156
2024-01-04,moto g 5G - 2023,1143
2024-01-04,iPhone 11,1094
2024-01-04,DE2118,1092
2024-01-04,SM-F711U,1080
2024-01-04,SM-A716U,1074
2024-01-04,Pixel 7a,1070
2024-01-04,SM-F926U,1062
2024-01-04,Edge 5G UW,1060
2024-01-04,SM-F721U,1037
2024-01-04,iPhone 13 Pro Max,1027
2024-01-04,iPhone 13,1005
2024-01-03,Chrome,925285
2024-01-03,iPhone,584082
2024-01-03,Edge,355056
2024-01-03,Safari,313363
2024-01-03,Firefox,53511
2024-01-03,(not set),37175
2024-01-03,ChromeBook,26123
2024-01-03,iPad,13763
2024-01-03,SM-S918U,11368
2024-01-03,SM-S908U,11161
2024-01-03,SM-A146U,7544
2024-01-03,SM-S901U,7125
2024-01-03,SM-G991U,5833
2024-01-03,SM-S911U,5618
2024-01-03,SM-G998U,5386
2024-01-03,SM-S916U,4214
2024-01-03,SM-S906U,3969
2024-01-03,SM-A037U,3107
2024-01-03,SM-G996U,3104
2024-01-03,Pixel 7,3017
2024-01-03,SM-A136U,2930
2024-01-03,SM-N986U,2916
2024-01-03,Pixel 7 Pro,2790
2024-01-03,moto g pure,2764
2024-01-03,SM-A326B,2657
2024-01-03,Pixel 6,2563
2024-01-03,SM-G781U,2560
2024-01-03,SM-S918U1,2525
2024-01-03,Pixel 6a,2482
2024-01-03,Moto G Stylus 5G,2246
2024-01-03,SM-S908U1,2231
2024-01-03,moto g play (2023),2153
2024-01-03,Opera,1981
2024-01-03,SM-G973U,1980
2024-01-03,Moto G 5G (2022),1929
2024-01-03,Moto G Stylus 5G (2022),1914
2024-01-03,Pixel 6 Pro,1750
2024-01-03,Firefox for Android,1748
2024-01-03,SM-G975U,1697
2024-01-03,SM-G970U,1658
2024-01-03,SM-G781V,1653
2024-01-03,Moto G Power (2022),1633
2024-01-03,SM-G960U,1621
2024-01-03,SM-G990U,1601
2024-01-03,SM-A536U,1596
2024-01-03,SM-N981U,1588
2024-01-03,SM-A037F,1569
2024-01-03,SM-A546U,1538
2024-01-03,Pixel 8 Pro,1464
2024-01-03,SM-N960U,1443
2024-01-03,moto g stylus 5G - 2023,1369
2024-01-03,SM-F936U,1347
2024-01-03,SM-G986U,1345
2024-01-03,SM-N975U,1341
2024-01-03,iPhone 14 Pro Max,1335
2024-01-03,SM-A236U,1295
2024-01-03,iPhone 13 Pro Max,1275
2024-01-03,SM-A125U,1219
2024-01-03,SM-G965U,1186
2024-01-03,iPhone 11,1176
2024-01-03,iPhone 13,1166
2024-01-03,SM-G990U2,1152
2024-01-03,SM-F926U,1143
2024-01-03,moto g 5G - 2023,1087
2024-01-03,Moto G Power (2021),1074
2024-01-03,SM-F711U,1034
2024-01-03,KFTRWI,1029
2024-01-03,DE2118,1025
2024-01-02,Chrome,854714
2024-01-02,iPhone,579288
2024-01-02,Edge,370331
2024-01-02,Safari,320910
2024-01-02,Firefox,56847
2024-01-02,(not set),36860
2024-01-02,ChromeBook,25689
2024-01-02,iPad,13874
2024-01-02,SM-S908U,11592
2024-01-02,SM-S918U,11562
2024-01-02,SM-A146U,7916
2024-01-02,SM-S901U,7133
2024-01-02,SM-G991U,5879
2024-01-02,SM-S911U,5407
2024-01-02,SM-G998U,5327
2024-01-02,SM-S916U,4296
2024-01-02,SM-S906U,4075
2024-01-02,SM-G996U,3194
2024-01-02,SM-A037U,3166
2024-01-02,Pixel 7,3055
2024-01-02,Pixel 7 Pro,2928
2024-01-02,SM-N986U,2867
2024-01-02,SM-A136U,2803
2024-01-02,moto g pure,2769
2024-01-02,SM-A326B,2691
2024-01-02,Pixel 6a,2649
2024-01-02,SM-G781U,2634
2024-01-02,Pixel 6,2614
2024-01-02,SM-S918U1,2547
2024-01-02,Moto G Stylus 5G,2429
2024-01-02,SM-S908U1,2320
2024-01-02,moto g play (2023),2192
2024-01-02,Moto G 5G (2022),2111
2024-01-02,Moto G Stylus 5G (2022),2054
2024-01-02,Opera,1980
2024-01-02,Firefox for Android,1960
2024-01-02,SM-G973U,1943
2024-01-02,Pixel 6 Pro,1784
2024-01-02,iPhone 14 Pro Max,1743
2024-01-02,SM-G975U,1722
2024-01-02,SM-A536U,1682
2024-01-02,SM-G970U,1679
2024-01-02,SM-G960U,1658
2024-01-02,SM-N981U,1629
2024-01-02,SM-G781V,1612
2024-01-02,Moto G Power (2022),1587
2024-01-02,SM-G990U,1572
2024-01-02,SM-A037F,1571
2024-01-02,SM-A546U,1564
2024-01-02,iPhone 13 Pro Max,1542
2024-01-02,Pixel 8 Pro,1514
2024-01-02,SM-N960U,1466
2024-01-02,SM-F936U,1431
2024-01-02,iPhone 13,1378
2024-01-02,SM-N975U,1356
2024-01-02,iPhone 11,1356
2024-01-02,SM-G986U,1342
2024-01-02,moto g stylus 5G - 2023,1265
2024-01-02,SM-A125U,1223
2024-01-02,SM-G965U,1210
2024-01-02,SM-A236U,1187
2024-01-02,KFTRWI,1186
2024-01-02,SM-F926U,1176
2024-01-02,SM-G990U2,1154
2024-01-02,Moto G Power (2021),1111
2024-01-02,DE2118,1076
2024-01-02,SM-F711U,1074
2024-01-02,moto g 5G - 2023,1072
2024-01-02,Pixel 7a,1040
2024-01-02,SM-F721U,1023
2024-01-02,SM-A716U,1017
2024-01-02,SM-F946U,1012
2024-01-01,iPhone,367499
2024-01-01,Chrome,317605
2024-01-01,Safari,184372
2024-01-01,Edge,108178
2024-01-01,Firefox,24201
2024-01-01,ChromeBook,15042
2024-01-01,(not set),13837
2024-01-01,iPad,10566
2024-01-01,SM-S918U,7050
2024-01-01,SM-S908U,6725
2024-01-01,SM-S901U,4752
2024-01-01,SM-A146U,4627
2024-01-01,SM-G991U,3964
2024-01-01,SM-S911U,3424
2024-01-01,SM-G998U,3226
2024-01-01,SM-S906U,2599
2024-01-01,SM-S916U,2576
2024-01-01,Pixel 7,2226
2024-01-01,Pixel 7 Pro,1984
2024-01-01,SM-G996U,1944
2024-01-01,SM-A037U,1898
2024-01-01,moto g pure,1864
2024-01-01,Pixel 6,1851
2024-01-01,SM-S918U1,1771
2024-01-01,Pixel 6a,1759
2024-01-01,SM-A136U,1739
2024-01-01,SM-G781U,1712
2024-01-01,SM-N986U,1712
2024-01-01,SM-A326B,1697
2024-01-01,Moto G Stylus 5G,1524
2024-01-01,SM-S908U1,1477
2024-01-01,Firefox for Android,1394
2024-01-01,moto g play (2023),1383
2024-01-01,Moto G 5G (2022),1283
2024-01-01,Pixel 6 Pro,1276
2024-01-01,SM-G973U,1276
2024-01-01,Moto G Stylus 5G (2022),1224
2024-01-01,iPhone 14 Pro Max,1196
2024-01-01,SM-G975U,1190
2024-01-01,SM-G960U,1162
2024-01-01,SM-G970U,1145
2024-01-01,SM-G781V,1121
2024-01-01,SM-A037F,1106
2024-01-01,Opera,1103
2024-01-01,iPhone 13 Pro Max,1097
2024-01-01,Pixel 8 Pro,1079
2024-01-01,Moto G Power (2022),1041
2023-12-31,iPhone,258357
2023-12-31,Chrome,245640
2023-12-31,Safari,126240
2023-12-31,Edge,75894
2023-12-31,Firefox,15105
2023-12-31,(not set),10751
2023-12-31,ChromeBook,10690
2023-12-31,iPad,7915
2023-12-31,SM-S918U,4921
2023-12-31,SM-S908U,4871
2023-12-31,SM-S901U,3251
2023-12-31,SM-A146U,3248
2023-12-31,SM-G991U,2944
2023-12-31,SM-S911U,2607
2023-12-31,SM-G998U,2342
2023-12-31,SM-S916U,1943
2023-12-31,SM-S906U,1805
2023-12-31,Pixel 7,1654
2023-12-31,Pixel 7 Pro,1515
2023-12-31,SM-A037U,1404
2023-12-31,SM-G996U,1403
2023-12-31,moto g pure,1380
2023-12-31,Pixel 6a,1374
2023-12-31,Pixel 6,1349
2023-12-31,SM-G781U,1302
2023-12-31,SM-N986U,1295
2023-12-31,SM-A326B,1278
2023-12-31,SM-A136U,1277
2023-12-31,SM-S918U1,1236
2023-12-31,Moto G Stylus 5G,1129
2023-12-31,Firefox for Android,1122
2023-12-31,SM-G973U,1110
2023-12-31,moto g play (2023),1086
2023-12-31,SM-S908U1,1053
2023-12-30,iPhone,318004
2023-12-30,Chrome,283417
2023-12-30,Safari,151467
2023-12-30,Edge,88806
2023-12-30,Firefox,19245
2023-12-30,(not set),12934
2023-12-30,ChromeBook,12320
2023-12-30,iPad,9197
2023-12-30,SM-S908U,6303
2023-12-30,SM-S918U,6029
2023-12-30,SM-A146U,3943
2023-12-30,SM-S901U,3898
2023-12-30,SM-G991U,3382
2023-12-30,SM-S911U,3086
2023-12-30,SM-G998U,2849
2023-12-30,SM-S916U,2372
2023-12-30,SM-S906U,2245
2023-12-30,Pixel 7,1936
2023-12-30,moto g pure,1693
2023-12-30,Pixel 7 Pro,1691
2023-12-30,SM-A037U,1674
2023-12-30,Pixel 6a,1648
2023-12-30,SM-G996U,1634
2023-12-30,Pixel 6,1580
2023-12-30,SM-N986U,1544
2023-12-30,SM-G781U,1526
2023-12-30,SM-A136U,1516
2023-12-30,SM-S918U1,1511
2023-12-30,SM-A326B,1474
2023-12-30,Moto G Stylus 5G,1339
2023-12-30,Firefox for Android,1251
2023-12-30,moto g play (2023),1250
2023-12-30,SM-S908U1,1218
2023-12-30,SM-G973U,1181
2023-12-30,Moto G 5G (2022),1079
2023-12-30,Pixel 6 Pro,1045
2023-12-30,SM-G960U,1038
2023-12-30,SM-G975U,1026
2023-12-30,Moto G Stylus 5G (2022),1011
2023-12-30,SM-G970U,1001
2023-12-29,Chrome,554280
2023-12-29,iPhone,414053
2023-12-29,Safari,208270
2023-12-29,Edge,194695
2023-12-29,Firefox,31904
