date,device,visits
2024-01-04,desktop,1631480
2024-01-04,mobile,838057
2024-01-04,tablet,25860
2024-01-04,smart tv,98
2024-01-03,desktop,1711127
2024-01-03,mobile,856083
2024-01-03,tablet,24541
2024-01-03,smart tv,116
2024-01-02,desktop,1629263
2024-01-02,mobile,827942
2024-01-02,tablet,25709
2024-01-02,smart tv,78
2024-01-01,desktop,655574
2024-01-01,mobile,534338
2024-01-01,tablet,18752
2024-01-01,smart tv,61
2023-12-31,desktop,484447
2023-12-31,mobile,391939
2023-12-31,tablet,14297
2023-12-31,smart tv,48
2023-12-30,desktop,558175
2023-12-30,mobile,469601
2023-12-30,tablet,15693
2023-12-30,smart tv,73
2023-12-29,desktop,1033823
2023-12-29,mobile,601989
2023-12-29,tablet,18887
2023-12-29,smart tv,58
2023-12-28,desktop,1186097
2023-12-28,mobile,674592
2023-12-28,tablet,20458
2023-12-28,smart tv,81
2023-12-27,desktop,1118266
2023-12-27,mobile,646061
2023-12-27,tablet,19108
2023-12-27,smart tv,67
2023-12-26,desktop,936066
2023-12-26,mobile,533621
2023-12-26,tablet,16646
2023-12-26,smart tv,84
2023-12-25,desktop,317413
2023-12-25,mobile,298101
2023-12-25,tablet,9665
2023-12-25,smart tv,57
2023-12-24,desktop,313465
2023-12-24,mobile,278163
2023-12-24,tablet,9728
2023-12-24,smart tv,53
2023-12-23,desktop,396207
2023-12-23,mobile,365948
2023-12-23,tablet,12190
2023-12-23,smart tv,54
2023-12-22,desktop,889992
2023-12-22,mobile,494243
2023-12-22,tablet,15686
2023-12-22,smart tv,63
2023-12-21,desktop,1086769
2023-12-21,mobile,539710
2023-12-21,tablet,16403
2023-12-21,smart tv,73
2023-12-20,desktop,1215367
2023-12-20,mobile,559614
2023-12-20,tablet,17720
2023-12-20,smart tv,66
2023-12-19,desktop,1195627
2023-12-19,mobile,553903
2023-12-19,tablet,16509
2023-12-19,smart tv,67
2023-12-18,desktop,1201068
2023-12-18,mobile,573780
2023-12-18,tablet,17084
2023-12-18,smart tv,91
2023-12-17,desktop,450631
2023-12-17,mobile,375869
2023-12-17,tablet,12624
2023-12-17,smart tv,57
2023-12-16,desktop,472813
2023-12-16,mobile,408981
2023-12-16,tablet,12934
2023-12-16,smart tv,53
2023-12-15,desktop,1060160
2023-12-15,mobile,551831
2023-12-15,tablet,17003
2023-12-15,smart tv,66
2023-12-14,desktop,1209270
2023-12-14,mobile,573832
2023-12-14,tablet,17427
2023-12-14,smart tv,90
2023-12-13,desktop,1254858
2023-12-13,mobile,602761
2023-12-13,tablet,17505
2023-12-13,smart tv,99
2023-12-12,desktop,1204226
2023-12-12,mobile,623114
2023-12-12,tablet,18371
2023-12-12,smart tv,86
2023-12-11,desktop,1306258
2023-12-11,mobile,591222
2023-12-11,tablet,18686
2023-12-11,smart tv,58
2023-12-10,desktop,480526
2023-12-10,mobile,404547
2023-12-10,tablet,14531
2023-12-10,smart tv,56
2023-12-09,desktop,461377
2023-12-09,mobile,412186
2023-12-09,tablet,12962
2023-12-09,smart tv,53
2023-12-08,desktop,980252
2023-12-08,mobile,561687
2023-12-08,tablet,16011
2023-12-08,smart tv,58
2023-12-07,desktop,1144542
2023-12-07,mobile,546999
2023-12-07,tablet,16729
2023-12-07,smart tv,74
2023-12-06,desktop,1210586
2023-12-06,mobile,566315
2023-12-06,tablet,17105
2023-12-06,smart tv,55
