date,language,visits
2024-01-04,English,2390095
2024-01-04,Spanish,35829
2024-01-04,Chinese,11033
2024-01-04,Russian,3452
2024-01-04,French,3055
2024-01-04,Korean,2977
2024-01-04,Indonesian,2695
2024-01-04,Portuguese,2657
2024-01-04,German,2414
2024-01-04,Japanese,2336
2024-01-04,Italian,1034
2024-01-04,Turkish,1023
2024-01-04,Polish,701
2024-01-04,Vietnamese,695
2024-01-04,Dutch,537
2024-01-04,Arabic,534
2024-01-04,Ukrainian,515
2024-01-04,Hindi,478
2024-01-04,Swedish,318
2024-01-04,Hebrew,313
2024-01-04,Thai,295
2024-01-04,Norwegian Bokmål,226
2024-01-04,Czech,214
2024-01-04,Danish,193
2024-01-04,Hungarian,189
2024-01-04,Romanian,185
2024-01-04,Greek,176
2024-01-04,(other),162
2024-01-04,Finnish,124
2024-01-04,Slovak,88
2024-01-04,Bulgarian,78
2024-01-04,Lithuanian,78
2024-01-04,Serbian,61
2024-01-04,Croatian,59
2024-01-04,Catalan,55
2024-01-04,Persian,53
2024-01-04,Slovenian,53
2024-01-04,Bengali,44
2024-01-04,Central Khmer,33
2024-01-04,Malay,31
2024-01-04,Azerbaijani,23
2024-01-04,Latvian,23
2024-01-04,Georgian,18
2024-01-04,Panjabi,16
2024-01-04,Gujarati,12
2024-01-04,Afrikaans,11
2024-01-03,English,2467237
2024-01-03,Spanish,37519
2024-01-03,Chinese,11396
2024-01-03,Russian,3593
2024-01-03,French,2910
2024-01-03,Korean,2875
2024-01-03,Portuguese,2687
2024-01-03,German,2413
2024-01-03,Indonesian,2276
2024-01-03,Japanese,1798
2024-01-03,Italian,1072
2024-01-03,Turkish,1019
2024-01-03,Vietnamese,692
2024-01-03,Polish,663
2024-01-03,Dutch,584
2024-01-03,Ukrainian,532
2024-01-03,Arabic,496
2024-01-03,Hindi,393
2024-01-03,Swedish,343
2024-01-03,Hebrew,326
2024-01-03,Thai,273
2024-01-03,Czech,226
2024-01-03,Hungarian,209
2024-01-03,Norwegian Bokmål,201
2024-01-03,Romanian,186
2024-01-03,Danish,184
2024-01-03,Greek,162
2024-01-03,(other),149
2024-01-03,Finnish,98
2024-01-03,Slovak,80
2024-01-03,Croatian,79
2024-01-03,Persian,79
2024-01-03,Bulgarian,60
2024-01-03,Serbian,51
2024-01-03,Bengali,50
2024-01-03,Slovenian,46
2024-01-03,Catalan,44
2024-01-03,Lithuanian,31
2024-01-03,Latvian,28
2024-01-03,Central Khmer,27
2024-01-03,Gujarati,22
2024-01-03,Malay,22
2024-01-03,Afrikaans,16
2024-01-03,Burmese,16
2024-01-03,Amharic,14
2024-01-03,Azerbaijani,13
2024-01-03,Icelandic,13
2024-01-03,Uzbek,13
2024-01-03,Georgian,11
2024-01-02,English,2441034
2024-01-02,Spanish,36923
2024-01-02,Chinese,11099
2024-01-02,Russian,3069
2024-01-02,Korean,2861
2024-01-02,French,2503
2024-01-02,Portuguese,2441
2024-01-02,German,2222
2024-01-02,Indonesian,2036
2024-01-02,Turkish,1156
2024-01-02,Italian,995
2024-01-02,Japanese,946
2024-01-02,Vietnamese,715
2024-01-02,Dutch,633
2024-01-02,Polish,615
2024-01-02,Arabic,578
2024-01-02,Ukrainian,452
2024-01-02,Hindi,409
2024-01-02,Swedish,372
2024-01-02,Hebrew,336
2024-01-02,Thai,277
2024-01-02,Czech,234
2024-01-02,Hungarian,187
