source,session_default_channel_group,visits,pageviews,users,pageviews_per_session,avg_session_duration,bounce_rate
google,Organic Search,21442299,52455701,12957964,2.4463655226522119,265.32681814402838,0.35463445407602984
(direct),Direct,18598125,42172322,14533373,2.2675577242329537,186.57883983494449,0.49085905165171217
bing,Organic Search,2599073,7990753,1433774,3.0744627026636033,350.9303418546512,0.28761985523300038
yahoo,Organic Search,739330,2349236,421275,3.177520187196516,354.24439507655177,0.28402743024089377
duckduckgo,Organic Search,384880,892861,238365,2.3198425483267511,272.85330592742156,0.3572126377052588
(not set),Unassigned,235218,689229,222762,2.9301711603703797,326.53764046545757,0.99830370124735357
IDme,Unassigned,162369,642626,107468,3.957812143943733,316.92930323580856,0.15514661049830941
mail,Unassigned,281694,590698,226573,2.0969491717963464,209.45689131795137,0.43528083665253786
IDme,Email,75936,314469,53604,4.1412373577749682,338.24531238598291,0.21852612726506532
OTC,Unassigned,88309,284082,54495,3.2169088088416808,351.95446285391068,0.27669886421542539
Campaign,Email,91340,163037,55127,1.7849463542807094,204.21046774127439,0.39164659513904093
google,Paid Search,58377,149017,37760,2.5526662898059169,250.33706585859156,0.32980454631104716
aol,Organic Search,24099,95718,14372,3.9718660525333003,396.10740843010086,0.18453047844308892
Transactional,Email,26740,49629,14682,1.8559835452505609,227.97430921645474,0.393530291697831
ecosia.org,Organic Search,16129,37762,9694,2.3412486824973651,290.20177194785788,0.37330274660549323
irspublishing,Unassigned,10867,31763,8823,2.9228858010490475,226.53591574868872,0.14272568326124965
govdelivery,Email,16087,29317,13913,1.8224031826941007,163.52908474289802,0.49617703735935847
fb,Paid Social,23164,29289,18979,1.2644189259195302,97.685237977594539,0.56078397513382838
newsletter,Email,24187,28741,23194,1.1882829619216935,21.663961286558894,0.71736883449787081
baidu,Organic Search,7159,26489,4601,3.7000977790194161,315.64876989719238,0.44545327559715042
