date,browser,os_version,visits
2024-01-04,Chrome,10,573282
2024-01-04,Chrome,11,259221
2024-01-04,Edge,10,215492
2024-01-04,Edge,11,141186
2024-01-04,Firefox,10,48081
2024-01-04,Chrome,7,9060
2024-01-04,Chrome,8.1,4839
2024-01-04,Internet Explorer,2000,4734
2024-01-04,Opera,10,1755
2024-01-04,Firefox,7,1703
2024-01-04,Edge,7,982
2024-01-04,Chrome,8,504
2024-01-04,Internet Explorer,XP,504
2024-01-04,Edge,8.1,443
2024-01-04,Firefox,8.1,417
2024-01-04,Internet Explorer,10,417
2024-01-04,YaBrowser,10,174
2024-01-04,Firefox,8,156
2024-01-04,Opera,7,104
2024-01-03,Chrome,10,568948
2024-01-03,Chrome,11,276690
2024-01-03,Edge,10,212982
2024-01-03,Edge,11,143019
2024-01-03,Firefox,10,48646
2024-01-03,Chrome,7,9269
2024-01-03,Chrome,8.1,3518
2024-01-03,Opera,10,1842
2024-01-03,Firefox,7,1677
2024-01-03,Edge,7,843
2024-01-03,Firefox,8.1,460
2024-01-03,Chrome,8,443
2024-01-03,Internet Explorer,10,434
2024-01-03,Internet Explorer,XP,434
2024-01-03,Edge,8.1,347
2024-01-03,Firefox,8,174
2024-01-03,YaBrowser,10,156
2024-01-02,Chrome,10,532941
2024-01-02,Chrome,11,276386
2024-01-02,Edge,10,209837
2024-01-02,Edge,11,147319
2024-01-02,Firefox,10,51608
2024-01-02,Chrome,7,9234
2024-01-02,Chrome,8.1,3336
2024-01-02,Firefox,7,1946
2024-01-02,Opera,10,1798
2024-01-02,Edge,7,956
2024-01-02,Chrome,8,712
2024-01-02,Firefox,8.1,573
2024-01-02,Internet Explorer,XP,469
2024-01-02,Edge,8.1,443
2024-01-02,Internet Explorer,10,339
2024-01-02,Firefox,8,130
2024-01-02,YaBrowser,10,113
2024-01-01,Chrome,10,145182
2024-01-01,Chrome,11,98143
2024-01-01,Edge,11,54987
2024-01-01,Edge,10,51738
2024-01-01,Firefox,10,21700
2024-01-01,Chrome,7,5151
2024-01-01,Chrome,8.1,1677
2024-01-01,Firefox,7,1138
2024-01-01,Opera,10,1121
2024-01-01,Edge,7,539
2024-01-01,Internet Explorer,XP,400
2024-01-01,Firefox,8.1,321
2024-01-01,Chrome,8,243
2024-01-01,Edge,8.1,217
2023-12-31,Chrome,10,110522
2023-12-31,Chrome,11,67114
2023-12-31,Edge,10,37883
2023-12-31,Edge,11,36684
2023-12-31,Firefox,10,14437
2023-12-31,Chrome,7,3605
2023-12-31,Chrome,8.1,1077
2023-12-31,Firefox,7,686
2023-12-31,Opera,10,678
2023-12-31,Internet Explorer,XP,495
2023-12-31,Edge,7,321
2023-12-31,Edge,8.1,252
2023-12-31,Chrome,8,191
2023-12-31,Firefox,8.1,182
2023-12-30,Chrome,10,125949
2023-12-30,Chrome,11,78884
2023-12-30,Edge,10,44598
2023-12-30,Edge,11,42826
2023-12-30,Firefox,10,17191
2023-12-30,Chrome,7,4204
2023-12-30,Chrome,8.1,1520
2023-12-30,Firefox,7,712
2023-12-30,Opera,10,660
2023-12-30,Internet Explorer,XP,434
2023-12-30,Chrome,8,347
2023-12-30,Firefox,8.1,252
