date,os_version,visits
2023-10-16,10,877188
2024-01-03,10,845004
2024-01-04,10,836326
2024-01-02,10,790755
2023-10-12,10,681684
2023-10-10,10,673380
2023-10-11,10,660063
2023-11-28,10,652566
2023-12-12,10,651211
2023-12-04,10,650838
2023-11-09,10,648075
2023-11-15,10,643358
2023-12-13,10,639362
2023-11-14,10,636522
2023-11-27,10,635766
2023-12-05,10,635028
2023-10-30,10,631318
2023-11-07,10,628452
2023-11-01,10,627748
2023-12-11,10,626072
2023-11-02,10,620251
2023-12-14,10,618471
2023-10-17,10,617211
2023-11-06,10,616942
2023-10-13,10,616247
2023-10-23,10,615265
2023-12-18,10,614388
2023-12-06,10,604085
2023-10-31,10,603113
2023-11-16,10,602913
2023-11-29,10,601523
2023-10-18,10,600202
2023-11-13,10,597405
2023-12-20,10,595225
2023-10-25,10,592150
2023-12-19,10,591750
2023-11-30,10,589057
2023-11-08,10,588614
2023-12-07,10,588189
2023-11-21,10,586582
2023-10-24,10,582829
2023-10-26,10,574281
2023-10-19,10,570077
2023-12-21,10,552573
2023-11-20,10,543591
2023-12-28,10,543113
2023-12-01,10,534939
2023-12-15,10,527981
2023-12-27,10,522439
2023-11-17,10,518312
2023-10-09,10,513196
2023-11-03,10,506629
2023-12-08,10,505022
2023-10-20,10,472637
2023-10-27,10,462795
2023-12-29,10,453257
2023-12-26,10,443311
2023-11-10,10,427909
2024-01-02,11,423896
2023-12-22,10,415131
2023-11-22,10,413976
2024-01-03,11,413976
2024-01-04,11,401119
2023-10-16,11,388654
2023-12-11,11,294681
2023-12-12,11,286585
2023-11-27,11,284665
2023-12-05,11,284448
2023-12-18,11,284057
2023-12-13,11,282980
2023-12-04,11,281129
2023-10-15,10,274458
2023-12-06,11,273980
2023-12-28,11,273963
2023-12-14,11,273772
2023-11-14,11,272269
2023-10-11,11,271878
2023-11-28,11,270983
2023-11-30,11,267760
2023-10-12,11,267031
2023-11-15,11,266805
2023-12-19,11,266779
2023-11-29,11,266640
2023-12-07,11,265615
2023-12-20,11,265172
2023-12-27,11,264355
2023-11-13,11,262931
2023-10-10,11,260742
2023-11-01,11,260316
2023-10-30,11,257606
2023-10-13,11,257319
2023-11-06,11,252958
2023-11-16,11,251325
2023-10-17,11,249788
2023-10-31,11,249162
2023-11-20,11,248285
2023-11-02,11,247598
2023-10-23,11,246938
2023-12-15,11,244966
2023-11-08,11,244254
2023-12-21,11,243420
2023-10-14,10,243299
2023-11-07,11,243116
2023-12-29,11,241031
2023-12-01,11,239667
2023-10-24,11,238078
2023-10-18,11,235819
2023-10-25,11,235394
2023-11-09,11,234707
2023-11-21,11,231189
2023-10-09,11,227576
2024-01-01,10,224214
2023-10-26,11,223649
2023-12-08,11,221669
2023-10-19,11,220574
2023-11-17,11,212348
2023-12-26,11,210636
2023-11-24,10,209377
2023-11-03,11,202514
2023-10-27,11,194366
2023-11-10,11,194166
2023-12-22,11,192238
2023-10-07,10,189171
2023-12-30,10,188711
2023-10-20,11,188659
2023-10-08,10,177688
2023-12-02,10,173049
2023-11-22,11,167759
2023-12-03,10,166907
2023-12-31,10,164840
2023-12-10,10,161999
2023-11-05,10,161348
2023-10-29,10,160818
2023-12-09,10,160783
2023-11-04,10,157717
2023-11-26,10,156822
2023-12-16,10,156492
2023-11-18,10,156466
2023-10-15,11,156049
2024-01-01,11,152948
2023-11-11,10,152913
2023-10-21,10,152348
2023-10-28,10,152192
2023-12-17,10,151844
2023-11-12,10,151749
2023-10-22,10,145225
2023-11-19,10,143323
2023-11-25,10,135739
2023-11-23,10,135296
2023-10-14,11,133776
2023-12-23,10,131709
2023-12-30,11,122223
2023-11-24,11,107151
2023-12-25,10,106778
2023-12-31,11,105822
