date,device,visits
2024-01-04,desktop,660705
2024-01-04,mobile,545924
2024-01-04,tablet,18597
2024-01-04,(other),6377
2024-01-04,smart tv,26
2024-01-03,desktop,769195
2024-01-03,mobile,650985
2024-01-03,tablet,32150
2024-01-03,smart tv,75
2024-01-02,desktop,728732
2024-01-02,mobile,616854
2024-01-02,tablet,31446
2024-01-02,smart tv,62
2024-01-01,mobile,352889
2024-01-01,desktop,297630
2024-01-01,tablet,21262
2024-01-01,smart tv,59
2023-12-31,mobile,288230
2023-12-31,desktop,250932
2023-12-31,tablet,16628
2023-12-31,smart tv,56
2023-12-30,mobile,339264
2023-12-30,desktop,298910
2023-12-30,tablet,19968
2023-12-30,smart tv,61
2023-12-29,desktop,534681
2023-12-29,mobile,513227
2023-12-29,tablet,26581
2023-12-29,smart tv,77
2023-12-28,mobile,672212
2023-12-28,desktop,642576
2023-12-28,tablet,31968
2023-12-28,smart tv,79
2023-12-27,mobile,669609
2023-12-27,desktop,618567
2023-12-27,tablet,29780
2023-12-27,smart tv,64
2023-12-26,desktop,535479
2023-12-26,mobile,519228
2023-12-26,tablet,27713
2023-12-26,smart tv,72
2023-12-25,mobile,259376
2023-12-25,desktop,218271
2023-12-25,tablet,16453
2023-12-25,smart tv,42
2023-12-24,mobile,265398
2023-12-24,desktop,227225
2023-12-24,tablet,16148
2023-12-24,smart tv,47
2023-12-23,mobile,314006
2023-12-23,desktop,280873
2023-12-23,tablet,18868
2023-12-23,smart tv,38
2023-12-22,desktop,506326
2023-12-22,mobile,500519
2023-12-22,tablet,26287
2023-12-22,smart tv,56
2023-12-21,mobile,656474
2023-12-21,desktop,605431
2023-12-21,tablet,30742
2023-12-21,smart tv,69
2023-12-20,desktop,648309
2023-12-20,mobile,592213
2023-12-20,tablet,29363
2023-12-20,smart tv,51
2023-12-19,desktop,662351
2023-12-19,mobile,569533
2023-12-19,tablet,29455
2023-12-19,smart tv,69
2023-12-18,desktop,692523
2023-12-18,mobile,583541
2023-12-18,tablet,32126
2023-12-18,smart tv,63
2023-12-17,mobile,327006
2023-12-17,desktop,295630
2023-12-17,tablet,20905
2023-12-17,smart tv,51
2023-12-16,mobile,356904
2023-12-16,desktop,300788
2023-12-16,tablet,20415
2023-12-16,smart tv,46
2023-12-15,desktop,619633
2023-12-15,mobile,499339
2023-12-15,tablet,25511
2023-12-15,smart tv,55
2023-12-14,desktop,676658
2023-12-14,mobile,571944
2023-12-14,tablet,29551
2023-12-14,smart tv,65
2023-12-13,desktop,687808
2023-12-13,mobile,578275
2023-12-13,tablet,30359
2023-12-13,smart tv,53
2023-12-12,desktop,749900
2023-12-12,mobile,604382
2023-12-12,tablet,31645
2023-12-12,smart tv,61
2023-12-11,desktop,700376
2023-12-11,mobile,595097
2023-12-11,tablet,29961
2023-12-11,smart tv,60
2023-12-10,mobile,324002
2023-12-10,desktop,293547
2023-12-10,tablet,22153
2023-12-10,smart tv,48
2023-12-09,mobile,341485
2023-12-09,desktop,296392
2023-12-09,tablet,21030
2023-12-09,smart tv,70
2023-12-08,desktop,588518
2023-12-08,mobile,514902
2023-12-08,tablet,26531
2023-12-08,smart tv,68
2023-12-07,desktop,714562
2023-12-07,mobile,614105
2023-12-07,tablet,30725
2023-12-07,smart tv,63
2023-12-06,desktop,695203
2023-12-06,mobile,616851
2023-12-06,tablet,31363
2023-12-06,smart tv,62
