date,browser,visits
2024-01-04,Internet Explorer,387
2024-01-03,Internet Explorer,538
2024-01-02,Internet Explorer,466
2023-12-29,Internet Explorer,310
2023-12-28,Internet Explorer,410
2023-12-27,Internet Explorer,444
2023-12-26,Internet Explorer,280
2023-12-22,Internet Explorer,330
2023-12-21,Internet Explorer,472
2023-12-20,Internet Explorer,477
2023-12-19,Internet Explorer,562
2023-12-18,Internet Explorer,523
2023-12-15,Internet Explorer,474
2023-12-14,Internet Explorer,536
2023-12-13,Internet Explorer,547
2023-12-12,Internet Explorer,727
2023-12-11,Internet Explorer,688
2023-12-08,Internet Explorer,425
2023-12-07,Internet Explorer,504
2023-12-06,Internet Explorer,466
2023-12-05,Internet Explorer,746
2023-12-04,Internet Explorer,470
2023-12-01,Internet Explorer,455
2023-11-30,Internet Explorer,557
2023-11-29,Internet Explorer,573
2023-11-28,Internet Explorer,534
2023-11-27,Internet Explorer,599
2023-11-24,Internet Explorer,193
2023-11-22,Internet Explorer,421
2023-11-21,Internet Explorer,527
2023-11-20,Internet Explorer,525
2023-11-17,Internet Explorer,489
2023-11-16,Internet Explorer,534
2023-11-15,Internet Explorer,543
2023-11-14,Internet Explorer,568
2023-11-13,Internet Explorer,524
2023-11-11,Internet Explorer,152
2023-11-10,Internet Explorer,195
2023-11-09,Internet Explorer,475
2023-11-08,Internet Explorer,539
2023-11-07,Internet Explorer,591
2023-11-06,Internet Explorer,680
2023-11-03,Internet Explorer,545
2023-11-02,Internet Explorer,661
2023-11-01,Internet Explorer,675
2023-10-31,Internet Explorer,632
2023-10-30,Internet Explorer,614
2023-10-27,Internet Explorer,492
2023-10-26,Internet Explorer,624
2023-10-25,Internet Explorer,602
2023-10-24,Internet Explorer,598
2023-10-23,Internet Explorer,658
2023-10-20,Internet Explorer,506
2023-10-19,Internet Explorer,580
2023-10-18,Internet Explorer,607
2023-10-17,Internet Explorer,637
2023-10-16,Internet Explorer,556
2023-10-13,Internet Explorer,536
2023-10-12,Internet Explorer,608
2023-10-11,Internet Explorer,641
2023-10-10,Internet Explorer,662
2023-10-09,Internet Explorer,222
2023-10-08,Internet Explorer,111
