date,os,visits
2024-01-04,Windows,532035
2024-01-04,iOS,339989
2024-01-04,Android,224226
2024-01-04,Macintosh,102200
2024-01-04,Linux,18378
2024-01-04,Chrome OS,10412
2024-01-04,(other),9973
2024-01-04,,644
2024-01-03,Windows,613948
2024-01-03,iOS,424545
2024-01-03,Android,257883
2024-01-03,Macintosh,114696
2024-01-03,Linux,22936
2024-01-03,Chrome OS,11979
2024-01-03,(not set),589
2024-01-02,Windows,582378
2024-01-02,iOS,399403
2024-01-02,Android,246125
2024-01-02,Macintosh,109184
2024-01-02,Linux,23676
2024-01-02,Chrome OS,11644
2024-01-02,(not set),244
2024-01-01,iOS,221667
2024-01-01,Windows,219488
2024-01-01,Android,148959
2024-01-01,Macintosh,53393
2024-01-01,Linux,18308
2024-01-01,Chrome OS,5649
2024-01-01,(not set),130
2023-12-31,Windows,188305
2023-12-31,iOS,184460
2023-12-31,Android,117494
2023-12-31,Macintosh,43070
2023-12-31,Linux,17380
2023-12-31,Chrome OS,4296
2023-12-31,(not set),116
2023-12-30,Windows,220844
2023-12-30,iOS,215982
2023-12-30,Android,139790
2023-12-30,Macintosh,53929
2023-12-30,Linux,18123
2023-12-30,Chrome OS,5281
2023-12-30,(not set),182
2023-12-29,Windows,420068
2023-12-29,iOS,330767
2023-12-29,Android,210045
2023-12-29,Macintosh,80008
2023-12-29,Linux,20830
2023-12-29,Chrome OS,8115
2023-12-29,(not set),197
2023-12-28,Windows,508124
2023-12-28,iOS,430411
2023-12-28,Android,263192
2023-12-28,Macintosh,100504
2023-12-28,Linux,21587
2023-12-28,Chrome OS,9600
2023-12-28,(not set),173
2023-12-27,Windows,479322
2023-12-27,iOS,431752
2023-12-27,Android,262782
2023-12-27,Macintosh,101259
2023-12-27,Linux,21902
2023-12-27,Chrome OS,9091
2023-12-27,(not set),191
2023-12-26,Windows,419915
2023-12-26,iOS,333503
2023-12-26,Android,220002
2023-12-26,Macintosh,83905
2023-12-26,Linux,20855
2023-12-26,Chrome OS,8546
2023-12-26,(not set),284
2023-12-25,Windows,167715
2023-12-25,iOS,159374
2023-12-25,Android,118535
2023-12-25,Macintosh,33178
2023-12-25,Linux,16899
2023-12-25,Chrome OS,3346
2023-12-25,(not set),177
2023-12-24,Windows,167980
2023-12-24,iOS,167625
2023-12-24,Android,117341
2023-12-24,Macintosh,34060
2023-12-24,Linux,16968
2023-12-24,Chrome OS,3369
2023-12-24,(not set),159
2023-12-23,Windows,206796
2023-12-23,iOS,195897
2023-12-23,Android,134991
2023-12-23,Macintosh,45573
2023-12-23,Linux,18012
2023-12-23,Chrome OS,4491
2023-12-23,(not set),503
2023-12-22,Windows,406616
2023-12-22,iOS,313449
2023-12-22,Android,211266
2023-12-22,Macintosh,72133
2023-12-22,Linux,21241
2023-12-22,Chrome OS,7379
2023-12-22,(not set),500
2023-12-21,Windows,479366
2023-12-21,iOS,377399
2023-12-21,Android,296518
2023-12-21,Macintosh,89943
2023-12-21,Linux,23282
2023-12-21,Chrome OS,9253
2023-12-21,(not set),613
2023-12-20,Windows,512660
2023-12-20,iOS,368059
2023-12-20,Android,250799
2023-12-20,Macintosh,96849
2023-12-20,Linux,21821
2023-12-20,Chrome OS,10075
2023-12-20,(not set),500
2023-12-19,Windows,529165
2023-12-19,iOS,371310
2023-12-19,Android,231592
2023-12-19,Macintosh,101255
2023-12-19,Linux,22873
2023-12-19,Chrome OS,10720
2023-12-19,(not set),272
2023-12-18,Windows,553006
2023-12-18,iOS,380800
2023-12-18,Android,245950
2023-12-18,Macintosh,104006
2023-12-18,Linux,22642
2023-12-18,Chrome OS,11246
2023-12-18,(not set),175
2023-12-17,Windows,216832
2023-12-17,iOS,198969
2023-12-17,Android,140417
2023-12-17,Macintosh,53348
2023-12-17,Linux,18527
2023-12-17,Chrome OS,5445
2023-12-16,iOS,227952
2023-12-16,Windows,221873
2023-12-16,Android,150772
2023-12-16,Macintosh,50581
2023-12-16,Linux,19583
2023-12-16,Chrome OS,5516
2023-12-16,(not set),161
2023-12-15,Windows,499451
2023-12-15,iOS,312740
2023-12-15,Android,210714
2023-12-15,Macintosh,86943
2023-12-15,Linux,21547
2023-12-15,Chrome OS,9596
2023-12-15,(not set),138
2023-12-14,Windows,536767
2023-12-14,iOS,369619
2023-12-14,Android,232304
2023-12-14,Macintosh,102105
2023-12-14,Linux,22785
2023-12-14,Chrome OS,11593
2023-12-14,(not set),205
2023-12-13,Windows,545584
2023-12-13,iOS,369570
2023-12-13,Android,241485
2023-12-13,Macintosh,101630
2023-12-13,Linux,22562
2023-12-13,Chrome OS,12028
2023-12-13,(not set),219
2023-12-12,Windows,597591
2023-12-12,iOS,382256
2023-12-12,Android,254201
2023-12-12,Macintosh,112647
2023-12-12,Linux,23118
2023-12-12,Chrome OS,12362
2023-12-12,(not set),229
2023-12-11,Windows,549727
2023-12-11,iOS,369918
2023-12-11,Android,236761
2023-12-11,Macintosh,105143
2023-12-11,Linux,22105
2023-12-11,Chrome OS,12139
2023-12-11,(not set),178
2023-12-10,Windows,215874
2023-12-10,iOS,203932
2023-12-10,Android,146669
2023-12-10,Macintosh,57080
2023-12-10,Linux,18685
2023-12-10,Chrome OS,6089
2023-12-10,(not set),191
2023-12-09,Windows,218683
2023-12-09,iOS,209671
2023-12-09,Android,146057
2023-12-09,Macintosh,53228
2023-12-09,Linux,19170
2023-12-09,Chrome OS,5514
2023-12-09,(not set),209
2023-12-08,Windows,468964
2023-12-08,iOS,323255
2023-12-08,Android,213894
2023-12-08,Macintosh,89184
2023-12-08,Linux,21642
2023-12-08,Chrome OS,10061
2023-12-08,(not set),328
2023-12-07,Windows,558517
2023-12-07,iOS,396454
2023-12-07,Android,253640
2023-12-07,Macintosh,112301
2023-12-07,Linux,23442
2023-12-07,Chrome OS,13128
2023-12-07,(not set),965
2023-12-06,Windows,552450
2023-12-06,iOS,391652
2023-12-06,Android,249697
2023-12-06,Macintosh,105920
2023-12-06,Linux,23797
2023-12-06,Chrome OS,12868
2023-12-06,(not set),619
2023-12-05,Windows,569364
2023-12-05,iOS,372630
2023-12-05,Android,233517
2023-12-05,Macintosh,111570
2023-12-05,Linux,22680
2023-12-05,Chrome OS,12475
2023-12-05,(not set),268
2023-12-04,Windows,595241
2023-12-04,iOS,371487
2023-12-04,Android,244251
2023-12-04,Macintosh,114401
2023-12-04,Linux,26887
2023-12-04,Chrome OS,12845
2023-12-04,(not set),225
2023-12-03,Windows,226651
2023-12-03,iOS,210073
2023-12-03,Android,149795
2023-12-03,Macintosh,60185
2023-12-03,Linux,39132
2023-12-03,Chrome OS,6331
2023-12-02,Windows,229411
2023-12-02,iOS,225694
2023-12-02,Android,152443
2023-12-02,Macintosh,55860
2023-12-02,Linux,21529
2023-12-02,Chrome OS,5827
2023-12-02,(not set),110
2023-12-01,Windows,499916
2023-12-01,iOS,348123
2023-12-01,Android,218931
2023-12-01,Macintosh,96335
2023-12-01,Linux,23045
2023-12-01,Chrome OS,10691
2023-12-01,(not set),197
2023-11-30,Windows,578947
2023-11-30,iOS,423261
2023-11-30,Android,246131
2023-11-30,Macintosh,113303
2023-11-30,Linux,23667
2023-11-30,Chrome OS,12702
2023-11-30,(not set),123
2023-11-29,Windows,580570
2023-11-29,iOS,397134
2023-11-29,Android,260313
2023-11-29,Macintosh,115028
2023-11-29,Linux,23605
2023-11-29,Chrome OS,13175
2023-11-29,(not set),144
2023-11-28,Windows,603674
2023-11-28,iOS,393406
2023-11-28,Android,242590
2023-11-28,Macintosh,118856
2023-11-28,Linux,23217
2023-11-28,Chrome OS,13882
2023-11-28,(not set),190
2023-11-27,Windows,588086
2023-11-27,iOS,370740
2023-11-27,Android,229788
2023-11-27,Macintosh,113576
2023-11-27,Linux,23898
2023-11-27,Chrome OS,12507
2023-11-26,Windows,217754
2023-11-26,iOS,201318
2023-11-26,Android,139153
2023-11-26,Macintosh,56429
2023-11-26,Linux,19314
2023-11-26,Chrome OS,5711
2023-11-25,Windows,206903
2023-11-25,iOS,184166
2023-11-25,Android,129199
2023-11-25,Macintosh,47496
2023-11-25,Linux,18611
2023-11-25,Chrome OS,5085
2023-11-25,(not set),230
2023-11-24,Windows,327118
2023-11-24,iOS,234656
2023-11-24,Android,165238
2023-11-24,Macintosh,59547
2023-11-24,Linux,19991
2023-11-24,Chrome OS,6308
2023-11-24,(not set),224
2023-11-23,iOS,238595
2023-11-23,Windows,205468
2023-11-23,Android,160475
2023-11-23,Macintosh,52938
2023-11-23,Linux,18880
2023-11-23,Chrome OS,5016
2023-11-22,Windows,438005
2023-11-22,iOS,353986
2023-11-22,Android,229697
2023-11-22,Macintosh,86829
2023-11-22,Linux,22197
2023-11-22,Chrome OS,8140
2023-11-21,Windows,540715
2023-11-21,iOS,344161
2023-11-21,Android,219830
2023-11-21,Macintosh,93239
2023-11-21,Linux,23599
2023-11-21,Chrome OS,9985
2023-11-21,(not set),105
2023-11-20,Windows,539801
2023-11-20,iOS,367482
2023-11-20,Android,245199
2023-11-20,Macintosh,102368
2023-11-20,Linux,24642
2023-11-20,Chrome OS,11664
2023-11-20,(not set),167
2023-11-19,Windows,217361
2023-11-19,iOS,208753
2023-11-19,Android,147147
2023-11-19,Macintosh,56331
2023-11-19,Linux,21065
2023-11-19,Chrome OS,6135
2023-11-19,(not set),233
2023-11-18,Windows,214932
2023-11-18,iOS,212980
2023-11-18,Android,144450
2023-11-18,Macintosh,50977
2023-11-18,Linux,21229
2023-11-18,Chrome OS,5503
2023-11-18,(not set),197
2023-11-17,Windows,473503
2023-11-17,iOS,309003
2023-11-17,Android,206757
2023-11-17,Macintosh,90733
2023-11-17,Linux,22204
2023-11-17,Chrome OS,10216
2023-11-16,Windows,554140
2023-11-16,iOS,366739
2023-11-16,Android,221860
2023-11-16,Macintosh,105864
2023-11-16,Linux,23478
2023-11-16,Chrome OS,12329
2023-11-16,(not set),467
2023-11-15,Windows,558886
2023-11-15,iOS,374772
2023-11-15,Android,233531
2023-11-15,Macintosh,108342
2023-11-15,Linux,22919
2023-11-15,Chrome OS,13304
2023-11-15,(not set),1201
2023-11-14,Windows,587411
2023-11-14,iOS,405643
2023-11-14,Android,247872
2023-11-14,Macintosh,115649
2023-11-14,Linux,23163
2023-11-14,Chrome OS,15097
2023-11-14,(not set),1487
2023-11-13,Windows,587261
2023-11-13,iOS,384072
2023-11-13,Android,242683
2023-11-13,Macintosh,115822
2023-11-13,Linux,23546
2023-11-13,Chrome OS,18554
2023-11-13,(not set),468
2023-11-12,Windows,229834
2023-11-12,iOS,223371
2023-11-12,Android,145962
2023-11-12,Macintosh,55792
2023-11-12,Linux,19683
2023-11-12,Chrome OS,6680
2023-11-12,(not set),140
2023-11-11,iOS,346107
2023-11-11,Windows,232153
2023-11-11,Android,215244
2023-11-11,Macintosh,64869
2023-11-11,Linux,21059
2023-11-11,Chrome OS,7038
2023-11-11,(not set),629
2023-11-10,Windows,395018
2023-11-10,iOS,393768
2023-11-10,Android,258922
2023-11-10,Macintosh,96867
2023-11-10,Chrome OS,25113
2023-11-10,Linux,23101
2023-11-10,(not set),197
2023-11-09,Windows,595678
2023-11-09,iOS,457622
2023-11-09,Android,276733
2023-11-09,Macintosh,122716
2023-11-09,Chrome OS,27373
2023-11-09,Linux,24310
2023-11-09,(not set),453
2023-11-08,Windows,663596
2023-11-08,iOS,449138
2023-11-08,Android,292822
2023-11-08,Macintosh,122833
2023-11-08,Linux,24683
2023-11-08,Chrome OS,21798
2023-11-08,(not set),497
2023-11-07,Windows,652302
2023-11-07,iOS,522815
2023-11-07,Android,311662
2023-11-07,Macintosh,133785
2023-11-07,Linux,25094
2023-11-07,Chrome OS,18171
2023-11-07,(not set),158
2023-11-06,Windows,622787
2023-11-06,iOS,504435
2023-11-06,Android,313234
2023-11-06,Macintosh,129933
2023-11-06,Linux,26257
2023-11-06,Chrome OS,17509
2023-11-06,(not set),106
2023-11-05,iOS,236580
2023-11-05,Windows,229989
2023-11-05,Android,151114
2023-11-05,Macintosh,60219
2023-11-05,Linux,37237
2023-11-05,Chrome OS,6373
2023-11-05,(not set),120
2023-11-04,iOS,232844
2023-11-04,Windows,224917
2023-11-04,Android,145530
2023-11-04,Macintosh,52015
2023-11-04,Linux,22780
2023-11-04,Chrome OS,5524
2023-11-04,(not set),375
2023-11-03,Windows,489218
2023-11-03,iOS,334567
2023-11-03,Android,202767
2023-11-03,Macintosh,90971
2023-11-03,Linux,22561
2023-11-03,Chrome OS,11396
2023-11-03,(not set),163
2023-11-02,Windows,571647
2023-11-02,iOS,441918
2023-11-02,Android,258037
2023-11-02,Macintosh,116185
2023-11-02,Linux,24051
2023-11-02,Chrome OS,13987
2023-11-02,(not set),284
2023-11-01,Windows,581007
2023-11-01,iOS,458891
2023-11-01,Android,266034
2023-11-01,Macintosh,125294
2023-11-01,Linux,24685
2023-11-01,Chrome OS,14062
2023-11-01,(not set),179
2023-10-31,Windows,600883
2023-10-31,iOS,425590
2023-10-31,Android,261980
2023-10-31,Macintosh,119754
2023-10-31,Linux,24487
2023-10-31,Chrome OS,12908
2023-10-31,(not set),397
2023-10-30,Windows,551904
2023-10-30,iOS,394252
2023-10-30,Android,230378
2023-10-30,Macintosh,110584
2023-10-30,Linux,23351
2023-10-30,Chrome OS,12516
2023-10-29,Windows,218364
2023-10-29,iOS,217473
2023-10-29,Android,142732
2023-10-29,Macintosh,55794
2023-10-29,Linux,21012
2023-10-29,Chrome OS,5878
2023-10-28,iOS,228982
2023-10-28,Windows,214118
2023-10-28,Android,146873
2023-10-28,Macintosh,51173
2023-10-28,Linux,22146
2023-10-28,Chrome OS,5498
2023-10-28,(not set),331
2023-10-27,Windows,473642
2023-10-27,iOS,358522
2023-10-27,Android,226051
2023-10-27,Macintosh,88121
2023-10-27,Linux,22989
2023-10-27,Chrome OS,10466
2023-10-27,(not set),114
2023-10-26,Windows,586677
2023-10-26,iOS,483681
2023-10-26,Android,300695
2023-10-26,Macintosh,119483
2023-10-26,Linux,24383
2023-10-26,Chrome OS,13715
2023-10-25,Windows,575053
2023-10-25,iOS,470985
2023-10-25,Android,295840
2023-10-25,Macintosh,119949
2023-10-25,Linux,24514
2023-10-25,Chrome OS,12999
2023-10-25,(not set),119
2023-10-24,Windows,562445
2023-10-24,iOS,390378
2023-10-24,Android,241046
2023-10-24,Macintosh,104958
2023-10-24,Linux,23544
2023-10-24,Chrome OS,11826
2023-10-23,Windows,579051
2023-10-23,iOS,397132
2023-10-23,Android,243038
2023-10-23,Macintosh,105227
2023-10-23,Linux,24466
2023-10-23,Chrome OS,12478
2023-10-22,iOS,226503
2023-10-22,Windows,214420
2023-10-22,Android,150019
2023-10-22,Macintosh,52308
2023-10-22,Linux,20455
2023-10-22,Chrome OS,5559
2023-10-21,iOS,239217
2023-10-21,Windows,211391
2023-10-21,Android,159011
2023-10-21,Macintosh,48784
2023-10-21,Linux,20257
2023-10-21,Chrome OS,5339
2023-10-21,(not set),333
2023-10-20,Windows,460221
2023-10-20,iOS,352623
2023-10-20,Android,227502
2023-10-20,Macintosh,83432
2023-10-20,Linux,22652
2023-10-20,Chrome OS,9620
2023-10-20,(not set),235
2023-10-19,Windows,539969
2023-10-19,iOS,419339
2023-10-19,Android,271677
2023-10-19,Macintosh,103291
2023-10-19,Linux,23444
2023-10-19,Chrome OS,11766
2023-10-19,(not set),178
2023-10-18,Windows,550529
2023-10-18,iOS,434105
2023-10-18,Android,285313
2023-10-18,Macintosh,107120
2023-10-18,Linux,23979
2023-10-18,Chrome OS,11534
2023-10-18,(not set),133
2023-10-17,Windows,577686
2023-10-17,iOS,400258
2023-10-17,Android,258844
2023-10-17,Macintosh,106266
2023-10-17,Linux,24212
2023-10-17,Chrome OS,12098
2023-10-16,Windows,555234
2023-10-16,iOS,394716
2023-10-16,Android,245677
2023-10-16,Macintosh,101916
2023-10-16,Linux,24272
2023-10-16,Chrome OS,11874
2023-10-16,(not set),127
2023-10-15,iOS,240337
2023-10-15,Windows,216841
2023-10-15,Android,155957
2023-10-15,Macintosh,49139
2023-10-15,Linux,20308
2023-10-15,Chrome OS,5425
2023-10-15,(not set),158
2023-10-14,iOS,237685
2023-10-14,Windows,209984
2023-10-14,Android,159505
2023-10-14,Macintosh,49920
2023-10-14,Linux,20591
2023-10-14,Chrome OS,5445
2023-10-14,(not set),412
2023-10-13,Windows,467731
2023-10-13,iOS,325757
2023-10-13,Android,229006
2023-10-13,Macintosh,79387
2023-10-13,Linux,24012
2023-10-13,Chrome OS,9255
2023-10-13,(not set),132
2023-10-12,Windows,523633
2023-10-12,iOS,370009
2023-10-12,Android,261954
2023-10-12,Macintosh,96944
2023-10-12,Linux,24147
2023-10-12,Chrome OS,10786
2023-10-12,(not set),114
2023-10-11,Windows,521359
2023-10-11,iOS,357634
2023-10-11,Android,260375
2023-10-11,Macintosh,99357
2023-10-11,Linux,23853
2023-10-11,Chrome OS,11095
2023-10-11,(not set),218
2023-10-10,Windows,543359
2023-10-10,iOS,359031
2023-10-10,Android,262044
2023-10-10,Macintosh,98625
2023-10-10,Linux,25421
2023-10-10,Chrome OS,11320
2023-10-10,(not set),494
2023-10-09,Windows,360770
2023-10-09,iOS,249188
2023-10-09,Android,211960
2023-10-09,Macintosh,79213
2023-10-09,Linux,22366
2023-10-09,Chrome OS,8807
2023-10-08,Windows,198666
2023-10-08,Android,163606
2023-10-08,iOS,162767
2023-10-08,Macintosh,44315
2023-10-08,Linux,21490
2023-10-08,Chrome OS,5086
2023-10-07,Windows,206335
2023-10-07,Android,177405
2023-10-07,iOS,171275
2023-10-07,Macintosh,46419
2023-10-07,Linux,21848
2023-10-07,Chrome OS,5048
2023-10-07,(not set),333
