domain,page,page_title,pageviews,visits,active_visitors,pageviews_per_session,avg_session_duration,bounce_rate
www.myhealth.va.gov,www.myhealth.va.gov/mhv-portal-web/home,Home - My HealtheVet - My HealtheVet,9924047,6829943,4313941,1.4530204717667483,88.512062826337441,0.48847918642952071
www.va.gov,www.va.gov/,"VA.gov Home | Veterans Affairs",9572217,6200781,2892806,1.543711509888835,105.10653106846537,0.25110385288562842
www.va.gov,www.va.gov/auth/login/callback,"Auth | Veterans Affairs",4639862,4083026,1894315,1.1363782645518299,70.908211112896808,0.010441765494513137
www.va.gov,www.va.gov/my-va/,"My VA | Veterans Affairs",4441770,3068681,1283223,1.4474528307113057,67.256118385255846,0.0155565208635241
www.myhealth.va.gov,www.myhealth.va.gov/mhv-portal-web/web/myhealthevet/user-login,Sign In - My HealtheVet - My HealtheVet,3893409,3275712,1411151,1.1885687752769474,35.666960251076858,0.018569092765175939
www.va.gov,www.va.gov/sign-in/,"Login Page | Veterans Affairs",3488888,3104036,2144639,1.1239847089402313,34.225576049152821,0.38274298365096282
eauth.va.gov,eauth.va.gov/accessva/,AccessVA,2985684,2092862,880049,1.4266029007168175,172.85733922300159,0.35830647218975736
www.va.gov,www.va.gov/?next=loginModal,"VA.gov Home | Veterans Affairs",2770735,2436643,1065195,1.1371111812440313,24.648640683331294,0.0072193587653176933
mhvidp-prod.myhealth.va.gov,mhvidp-prod.myhealth.va.gov/mhv-portal-web/web/guest/home,Home - My HealtheVet,2356872,1930509,1103835,1.2208552252281653,45.70919833363795,0.022532399486353081
www.myhealth.va.gov,www.myhealth.va.gov/mhv-portal-web/secure-messaging,Secure Messaging - My HealtheVet - My HealtheVet,1912099,836448,385855,2.2859747408087534,184.28385511034938,0.059961886453192545
www.va.gov,www.va.gov/claim-or-appeal-status/,"Check Your VA Claim, Decision Review, Or Appeal Status | Veterans Affairs",1735467,1398428,593315,1.2410127657626993,27.428321778028771,0.02324467187441899
www.myhealth.va.gov,www.myhealth.va.gov/mhv-portal-web/refill-prescriptions,Refill VA Prescriptions - My HealtheVet - My HealtheVet,1628661,898557,486581,1.8125294221735515,140.30061007769481,0.078216518262057944
eauth.va.gov,eauth.va.gov/mhv-portal-web/web/myhealthevet/secure-messaging,Secure Messaging - My HealtheVet - My HealtheVet,1350503,477897,265746,2.8259290181775572,190.9756342973009,0.053019792967940793
www.va.gov,www.va.gov/track-claims/your-claims,"Check your claim, decision review, or appeal status | Veterans Affairs",1337076,922237,434896,1.4498182137563338,65.8377215422201,0.025080321002085147
www.myhealth.va.gov,www.myhealth.va.gov/web/myhealthevet/home,Home - My HealtheVet - My HealtheVet,1238758,1093248,456821,1.1330978881278539,141.71952057780379,0.10080329440346564
www.myhealth.va.gov,www.myhealth.va.gov/mhv-portal-web/user-login,Sign In - My HealtheVet - My HealtheVet,1178818,803907,458645,1.4663611586912417,92.422604580093065,0.035813844138687684
www.myhealth.va.gov,www.myhealth.va.gov/secure-messaging,Secure Messaging - My HealtheVet - My HealtheVet,1116096,899805,416748,1.2403765260250832,34.637410525804867,0.010564511199648813
eauth.va.gov,eauth.va.gov/mhv-portal-web/web/myhealthevet/home,Home - My HealtheVet - My HealtheVet,1104985,788783,459386,1.400873243972043,95.782909251009642,0.019203000064656566
www.myhealth.va.gov,www.myhealth.va.gov/mhv-portal-web/labs-tests,Labs and Tests - My HealtheVet - My HealtheVet,1104042,169769,105935,6.50320140897337,250.56778402227235,0.049261054727305929
www.va.gov,www.va.gov/track-claims/,"Track Claims | Veterans Affairs",1092070,936097,360913,1.1666194849465386,7.5931417347913674,0.0095567019229844778
