date,visits
2024-01-04,1197807
2024-01-03,1434550
2024-01-02,1350880
2024-01-01,676737
2023-12-31,553676
2023-12-30,669016
2023-12-29,1087389
2023-12-28,1329475
2023-12-27,1319037
2023-12-26,1072899
2023-12-25,494171
2023-12-24,510618
2023-12-23,623101
2023-12-22,1033186
2023-12-21,1283096
2023-12-20,1238166
2023-12-19,1251119
2023-12-18,1285281
2023-12-17,637847
2023-12-16,673652
2023-12-15,1136515
2023-12-14,1287121
2023-12-13,1286548
2023-12-12,1387059
2023-12-11,1314061
2023-12-10,641966
2023-12-09,660379
2023-12-08,1118426
2023-12-07,1326432
2023-12-06,1343351
2023-12-05,1327857
2023-12-04,1369789
2023-12-03,689786
2023-12-02,679882
2023-12-01,1163988
2023-11-30,1401733
2023-11-29,1428827
2023-11-28,1426795
2023-11-27,1323785
2023-11-26,633571
2023-11-25,587531
2023-11-24,796767
2023-11-23,677486
2023-11-22,1152552
2023-11-21,1235818
2023-11-20,1280793
2023-11-19,674160
2023-11-18,640568
2023-11-17,1125447
2023-11-16,1259982
2023-11-15,1288490
2023-11-14,1383885
2023-11-13,1384523
2023-11-12,671206
2023-11-11,876522
2023-11-10,1212769
2023-11-09,1490509
2023-11-08,1560979
2023-11-07,1624007
2023-11-06,1615372
2023-11-05,702160
2023-11-04,681134
2023-11-03,1153445
2023-11-02,1387574
2023-11-01,1438572
2023-10-31,1455683
2023-10-30,1309581
2023-10-29,669241
2023-10-28,672756
2023-10-27,1196364
2023-10-26,1510651
2023-10-25,1469887
2023-10-24,1310506
2023-10-23,1373045
2023-10-22,676932
2023-10-21,675697
2023-10-20,1171257
2023-10-19,1372404
2023-10-18,1367981
2023-10-17,1385199
2023-10-16,1309238
2023-10-15,678385
2023-10-14,691829
2023-10-13,1118130
2023-10-12,1288689
2023-10-11,1290887
2023-10-10,1265453
2023-10-09,913096
2023-10-08,592719
2023-10-07,637241
