date,browser,os_version,visits
2024-01-04,Internet Explorer,10,496
2024-01-03,Internet Explorer,10,537
2024-01-02,Internet Explorer,10,425
2023-12-29,Internet Explorer,10,192
2023-12-28,Internet Explorer,10,334
2023-12-27,Internet Explorer,10,365
2023-12-26,Internet Explorer,10,162
2023-12-22,Internet Explorer,10,284
2023-12-21,Internet Explorer,10,334
2023-12-20,Internet Explorer,10,314
2023-12-19,Internet Explorer,10,537
2023-12-18,Internet Explorer,10,506
2023-12-15,Internet Explorer,10,314
2023-12-14,Internet Explorer,10,375
2023-12-13,Internet Explorer,10,446
2023-12-12,Internet Explorer,10,628
2023-12-11,Internet Explorer,10,547
2023-12-08,Internet Explorer,10,273
2023-12-07,Internet Explorer,10,344
2023-12-06,Internet Explorer,10,365
2023-12-05,Internet Explorer,10,608
2023-12-04,Internet Explorer,10,446
2023-12-01,Internet Explorer,10,446
2023-11-30,Internet Explorer,10,354
2023-11-29,Internet Explorer,10,415
2023-11-28,Internet Explorer,10,435
2023-11-27,Internet Explorer,10,496
2023-11-22,Internet Explorer,10,344
2023-11-21,Internet Explorer,10,395
2023-11-20,Internet Explorer,10,375
2023-11-17,Internet Explorer,10,496
2023-11-16,Internet Explorer,10,506
2023-11-15,Internet Explorer,10,557
2023-11-14,Internet Explorer,10,557
2023-11-13,Internet Explorer,10,567
2023-11-11,Internet Explorer,10,142
2023-11-10,Internet Explorer,10,111
2023-11-09,Internet Explorer,10,344
2023-11-08,Internet Explorer,10,608
2023-11-07,Internet Explorer,10,496
2023-11-06,Internet Explorer,10,648
2023-11-03,Internet Explorer,10,425
2023-11-02,Internet Explorer,10,628
2023-11-01,Internet Explorer,10,648
2023-10-31,Internet Explorer,10,466
2023-10-30,Internet Explorer,10,557
2023-10-27,Internet Explorer,10,435
2023-10-26,Internet Explorer,10,466
2023-10-25,Internet Explorer,10,405
2023-10-24,Internet Explorer,10,486
2023-10-23,Internet Explorer,10,567
2023-10-20,Internet Explorer,10,365
2023-10-19,Internet Explorer,10,537
2023-10-18,Internet Explorer,10,425
2023-10-17,Internet Explorer,10,516
2023-10-16,Internet Explorer,10,466
2023-10-13,Internet Explorer,10,456
2023-10-12,Internet Explorer,10,628
2023-10-11,Internet Explorer,10,506
2023-10-10,Internet Explorer,10,749
2023-10-09,Internet Explorer,10,142
