date,os_version,visits
2024-01-04,10,516583
2023-11-07,10,512765
2023-11-08,10,502062
2023-11-06,10,466531
2024-01-03,10,461651
2023-10-31,10,452507
2023-11-14,10,448244
2023-11-28,10,448244
2023-12-04,10,446250
2023-11-09,10,445450
2023-11-01,10,444711
2023-10-26,10,444123
2023-11-02,10,442858
2023-11-15,10,438949
2023-12-12,10,436438
2023-11-29,10,435051
2023-10-24,10,433542
2023-12-05,10,432793
2023-12-06,10,432722
2023-10-23,10,430737
2023-11-13,10,429299
2023-11-30,10,428094
2023-11-27,10,427325
2023-10-25,10,422819
2023-12-18,10,421806
2023-10-17,10,420945
2023-10-30,10,420733
2023-12-13,10,420156
2023-10-18,10,418991
2023-11-16,10,418556
2024-01-02,10,415923
2023-10-10,10,415032
2023-10-19,10,414738
2023-10-11,10,413949
2023-12-11,10,413199
2023-12-14,10,412440
2023-12-07,10,411478
2023-11-21,10,409271
2023-12-19,10,405372
2023-10-12,10,404673
2023-10-16,10,403276
2023-11-20,10,399985
2023-12-20,10,391834
2023-12-21,10,381800
2023-12-15,10,380827
2023-11-03,10,377658
2023-12-01,10,375785
2023-12-28,10,372717
2023-12-27,10,366814
2023-11-17,10,361558
2023-12-08,10,361477
2023-10-27,10,359361
2023-10-13,10,356657
2023-10-20,10,352395
2023-11-22,10,338725
2023-12-29,10,323688
2023-12-26,10,316175
2023-12-22,10,313967
2023-11-10,10,277819
2023-10-09,10,262175
2023-11-24,10,245751
2023-11-12,10,173554
2023-11-11,10,171215
2023-12-16,10,170203
2023-12-02,10,168785
2023-11-05,10,168735
2023-11-18,10,165798
2023-11-23,10,165727
2023-12-10,10,165525
2023-11-04,10,163925
2023-10-14,10,163803
2023-12-03,10,163540
2023-12-09,10,162457
2023-10-21,10,160563
2024-01-01,10,160563
2023-10-28,10,160391
2023-10-15,10,160229
2023-11-26,10,160229
2023-10-22,10,159429
2023-11-19,10,159034
2023-10-29,10,158376
2023-12-30,10,158315
2023-10-07,10,155966
2023-12-23,10,155551
2023-11-25,10,155045
2023-12-17,10,154680
2023-11-07,11,151885
2023-10-08,10,150103
2023-11-06,11,149273
2023-12-31,10,148645
2024-01-02,11,148200
