date,browser,os_version,visits
2023-12-12,Internet Explorer,8,1883
2023-12-12,Internet Explorer,10,943
2023-12-12,Internet Explorer,7,393
2023-12-12,Internet Explorer,8.1,2
2023-12-12,Internet Explorer,NT,1
2023-12-11,Internet Explorer,8,1755
2023-12-11,Internet Explorer,10,920
2023-12-11,Internet Explorer,7,386
2023-12-11,Internet Explorer,XP,4
2023-12-11,Internet Explorer,8.1,1
2023-12-10,Internet Explorer,10,1298
2023-12-10,Internet Explorer,8,972
2023-12-10,Internet Explorer,7,431
2023-12-10,Internet Explorer,XP,20
2023-12-10,Internet Explorer,8.1,2
2023-12-09,Internet Explorer,8,2173
2023-12-09,Internet Explorer,10,449
2023-12-09,Internet Explorer,7,382
2023-12-09,Internet Explorer,8.1,6
2023-12-09,Internet Explorer,XP,3
2023-12-08,Internet Explorer,8,1970
2023-12-08,Internet Explorer,7,889
2023-12-08,Internet Explorer,10,826
2023-12-08,Internet Explorer,XP,5
2023-12-08,Internet Explorer,8.1,2
2023-12-07,Internet Explorer,2000,8833
2023-12-07,Internet Explorer,8,1736
2023-12-07,Internet Explorer,10,780
2023-12-07,Internet Explorer,7,394
2023-12-07,Internet Explorer,XP,12
2023-12-07,Internet Explorer,8.1,4
2023-12-06,Internet Explorer,2000,74257
2023-12-06,Internet Explorer,8,1682
2023-12-06,Internet Explorer,10,843
2023-12-06,Internet Explorer,7,398
2023-12-06,Internet Explorer,8.1,6
2023-12-06,Internet Explorer,Vista,5
2023-12-05,Internet Explorer,2000,95990
2023-12-05,Internet Explorer,8,1818
2023-12-05,Internet Explorer,10,785
2023-12-05,Internet Explorer,7,396
2023-12-05,Internet Explorer,8.1,4
2023-12-05,Internet Explorer,XP,4
2023-12-04,Internet Explorer,2000,114207
2023-12-04,Internet Explorer,8,1697
2023-12-04,Internet Explorer,10,789
2023-12-04,Internet Explorer,7,381
2023-12-04,Internet Explorer,8.1,12
2023-12-04,Internet Explorer,XP,1
2023-12-03,Internet Explorer,2000,32409
2023-12-03,Internet Explorer,8,1230
2023-12-03,Internet Explorer,7,377
2023-12-03,Internet Explorer,10,370
2023-12-03,Internet Explorer,XP,12
2023-12-03,Internet Explorer,8.1,5
2023-12-02,Internet Explorer,2000,16462
2023-12-02,Internet Explorer,8,2332
2023-12-02,Internet Explorer,10,603
2023-12-02,Internet Explorer,7,361
2023-12-02,Internet Explorer,XP,12
2023-12-02,Internet Explorer,8.1,1
2023-12-01,Internet Explorer,2000,28665
2023-12-01,Internet Explorer,8,2081
2023-12-01,Internet Explorer,7,912
2023-12-01,Internet Explorer,10,868
2023-12-01,Internet Explorer,8.1,9
2023-12-01,Internet Explorer,XP,4
